Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0006"
"","1.0000","0.0305","0.0255"
"","2.0000","0.0641","0.0523"
"","3.0000","0.0973","0.0785"
"","4.0000","0.1308","0.1042"
"","5.0000","0.1640","0.1296"
"","6.0000","0.1974","0.1547"
"","7.0000","0.2309","0.1799"
"","8.0000","0.2641","0.2046"
"","9.0000","0.2974","0.2292"
"","10.0000","0.3308","0.2537"
"","11.0000","0.3640","0.2779"
"","12.0000","0.3974","0.3019"
"","13.0000","0.4305","0.3256"
"","14.0000","0.4640","0.3494"
"","15.0000","0.4974","0.3732"
"","16.0000","0.5307","0.3966"
"","17.0000","0.5640","0.4199"
"","18.0000","0.5973","0.4430"
"","19.0000","0.6306","0.4661"
"","20.0000","0.6639","0.4889"
"","21.0000","0.6973","0.5115"
"","22.0000","0.7305","0.5340"
"","23.0000","0.7640","0.5563"
"","24.0000","0.7973","0.5786"
"","25.0000","0.8307","0.6007"
"","26.0000","0.8642","0.6227"
"","27.0000","0.8974","0.6442"
"","28.0000","0.9307","0.6659"
"","29.0000","0.9641","0.6873"
"","30.0000","0.9974","0.7084"
"","31.0000","1.0308","0.7295"
"","32.0000","1.0640","0.7504"
"","33.0000","1.0974","0.7709"
"","34.0000","1.1309","0.7916"
"","35.0000","1.1642","0.8119"
"","36.0000","1.1975","0.8321"
"","37.0000","1.2307","0.8521"
"","38.0000","1.2640","0.8718"
"","39.0000","1.2974","0.8914"
"","40.0000","1.3307","0.9109"
"","41.0000","1.3640","0.9300"
"","42.0000","1.3974","0.9492"
"","43.0000","1.4306","0.9679"
"","44.0000","1.4640","0.9868"
"","45.0000","1.4974","1.0053"
"","46.0000","1.5306","1.0235"
"","47.0000","1.5640","1.0417"
"","48.0000","1.5972","1.0597"
"","49.0000","1.6305","1.0774"
"","50.0000","1.6642","1.0950"
"","51.0000","1.6972","1.1121"
"","52.0000","1.7306","1.1292"
"","53.0000","1.7641","1.1465"
"","54.0000","1.7974","1.1630"
"","55.0000","1.8308","1.1796"
"","56.0000","1.8640","1.1958"
"","57.0000","1.8974","1.2120"
"","58.0000","1.9308","1.2280"
"","59.0000","1.9640","1.2436"
"","60.0000","1.9974","1.2589"
"","61.0000","2.0308","1.2744"
"","62.0000","2.0642","1.2894"
"","63.0000","2.0974","1.3042"
"","64.0000","2.1308","1.3188"
"","65.0000","2.1640","1.3332"
"","66.0000","2.1974","1.3475"
"","67.0000","2.2306","1.3614"
"","68.0000","2.2640","1.3751"
"","69.0000","2.2975","1.3890"
"","70.0000","2.3306","1.4021"
"","71.0000","2.3640","1.4153"
"","72.0000","2.3974","1.4282"
"","73.0000","2.4306","1.4410"
"","74.0000","2.4640","1.4534"
"","75.0000","2.4972","1.4657"
"","76.0000","2.5305","1.4776"
"","77.0000","2.5641","1.4896"
"","78.0000","2.5974","1.5012"
"","79.0000","2.6307","1.5127"
"","80.0000","2.6641","1.5240"
"","81.0000","2.6974","1.5349"
"","82.0000","2.7307","1.5458"
"","83.0000","2.7641","1.5565"
"","84.0000","2.7973","1.5669"
"","85.0000","2.8308","1.5770"
"","86.0000","2.8640","1.5869"
"","87.0000","2.8974","1.5968"
"","88.0000","2.9309","1.6065"
"","89.0000","2.9641","1.6159"
"","90.0000","2.9974","1.6251"
"","91.0000","3.0307","1.6342"
"","92.0000","3.0641","1.6430"
"","93.0000","3.0975","1.6516"
"","94.0000","3.1306","1.6600"
"","95.0000","3.1640","1.6682"
"","96.0000","3.1974","1.6763"
"","97.0000","3.2307","1.6842"
"","98.0000","3.2641","1.6920"
"","99.0000","3.2973","1.6995"
"","100.0000","3.3307","1.7070"
"","101.0000","3.3640","1.7141"
"","102.0000","3.3973","1.7214"
"","103.0000","3.4305","1.7280"
"","104.0000","3.4640","1.7348"
"","105.0000","3.4973","1.7413"
"","106.0000","3.5306","1.7477"
"","107.0000","3.5642","1.7542"
"","108.0000","3.5974","1.7601"
"","109.0000","3.6307","1.7660"
"","110.0000","3.6641","1.7719"
"","111.0000","3.6974","1.7776"
"","112.0000","3.7308","1.7829"
"","113.0000","3.7640","1.7882"
"","114.0000","3.7974","1.7935"
"","115.0000","3.8309","1.7986"
"","116.0000","3.8642","1.8035"
