Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
2,Time,Displacement,Force
,(s),(mm),(kN)
3,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","-0.0006"
"","1.0000","0.0304","0.0220"
"","2.0000","0.0638","0.0456"
"","3.0000","0.0971","0.0607"
"","4.0000","0.1304","0.0607"
"","5.0000","0.1637","0.0611"
"","6.0000","0.1971","0.0612"
"","7.0000","0.2304","0.0613"
"","8.0000","0.2638","0.0616"
"","9.0000","0.2972","0.0616"
"","10.0000","0.3305","0.0623"
"","11.0000","0.3639","0.0635"
"","12.0000","0.3972","0.0760"
"","13.0000","0.4305","0.0983"
"","14.0000","0.4639","0.1209"
"","15.0000","0.4971","0.1449"
"","16.0000","0.5305","0.1688"
"","17.0000","0.5640","0.1926"
"","18.0000","0.5971","0.2159"
"","19.0000","0.6305","0.2394"
"","20.0000","0.6639","0.2626"
"","21.0000","0.6972","0.2858"
"","22.0000","0.7305","0.3085"
"","23.0000","0.7637","0.3312"
"","24.0000","0.7970","0.3537"
"","25.0000","0.8305","0.3764"
"","26.0000","0.8637","0.3985"
"","27.0000","0.8970","0.4206"
"","28.0000","0.9305","0.4426"
"","29.0000","0.9638","0.4646"
"","30.0000","0.9971","0.4862"
"","31.0000","1.0304","0.5077"
"","32.0000","1.0637","0.5290"
"","33.0000","1.0971","0.5502"
"","34.0000","1.1304","0.5711"
"","35.0000","1.1638","0.5921"
"","36.0000","1.1973","0.6130"
"","37.0000","1.2305","0.6334"
"","38.0000","1.2638","0.6539"
"","39.0000","1.2972","0.6742"
"","40.0000","1.3305","0.6943"
"","41.0000","1.3639","0.7142"
"","42.0000","1.3971","0.7337"
"","43.0000","1.4305","0.7532"
"","44.0000","1.4640","0.7729"
"","45.0000","1.4972","0.7920"
"","46.0000","1.5305","0.8112"
"","47.0000","1.5639","0.8301"
"","48.0000","1.5971","0.8486"
"","49.0000","1.6305","0.8674"
"","50.0000","1.6638","0.8858"
"","51.0000","1.6970","0.9040"
"","52.0000","1.7304","0.9220"
"","53.0000","1.7637","0.9397"
"","54.0000","1.7971","0.9576"
"","55.0000","1.8306","0.9752"
"","56.0000","1.8637","0.9926"
"","57.0000","1.8970","1.0097"
"","58.0000","1.9304","1.0266"
"","59.0000","1.9637","1.0435"
"","60.0000","1.9972","1.0602"
"","61.0000","2.0303","1.0762"
"","62.0000","2.0638","1.0927"
"","63.0000","2.0972","1.1088"
"","64.0000","2.1305","1.1245"
"","65.0000","2.1639","1.1404"
"","66.0000","2.1971","1.1557"
"","67.0000","2.2305","1.1709"
"","68.0000","2.2639","1.1857"
"","69.0000","2.2971","1.2005"
"","70.0000","2.3305","1.2152"
"","71.0000","2.3639","1.2296"
"","72.0000","2.3972","1.2436"
"","73.0000","2.4305","1.2574"
"","74.0000","2.4639","1.2714"
"","75.0000","2.4971","1.2847"
"","76.0000","2.5304","1.2979"
"","77.0000","2.5638","1.3110"
"","78.0000","2.5970","1.3237"
"","79.0000","2.6305","1.3366"
"","80.0000","2.6636","1.3487"
"","81.0000","2.6970","1.3609"
"","82.0000","2.7305","1.3730"
"","83.0000","2.7638","1.3848"
"","84.0000","2.7971","1.3964"
"","85.0000","2.8303","1.4079"
"","86.0000","2.8637","1.4191"
"","87.0000","2.8971","1.4302"
"","88.0000","2.9304","1.4412"
"","89.0000","2.9638","1.4520"
"","90.0000","2.9972","1.4626"
"","91.0000","3.0305","1.4729"
"","92.0000","3.0639","1.4833"
"","93.0000","3.0972","1.4933"
"","94.0000","3.1305","1.5032"
"","95.0000","3.1639","1.5129"
"","96.0000","3.1971","1.5223"
"","97.0000","3.2305","1.5318"
"","98.0000","3.2641","1.5411"
"","99.0000","3.2971","1.5499"
"","100.0000","3.3305","1.5589"
"","101.0000","3.3639","1.5677"
"","102.0000","3.3971","1.5761"
"","103.0000","3.4305","1.5847"
"","104.0000","3.4637","1.5928"
"","105.0000","3.4970","1.6008"
"","106.0000","3.5305","1.6088"
"","107.0000","3.5637","1.6165"
"","108.0000","3.5971","1.6241"
"","109.0000","3.6304","1.6316"
"","110.0000","3.6638","1.6391"
"","111.0000","3.6971","1.6461"
"","112.0000","3.7304","1.6531"
"","113.0000","3.7637","1.6600"
"","114.0000","3.7971","1.6667"
"","115.0000","3.8304","1.6733"
"","116.0000","3.8638","1.6798"
"","117.0000","3.8972","1.6863"
"","118.0000","3.9305","1.6924"
"","119.0000","3.9638","1.6984"
"","120.0000","3.9972","1.7044"
"","121.0000","4.0305","1.7102"
"","122.0000","4.0639","1.7159"
"","123.0000","4.0970","1.7213"
"","124.0000","4.1305","1.7268"
"","125.0000","4.1640","1.7322"
"","126.0000","4.1972","1.7373"
"","127.0000","4.2305","1.7422"
"","128.0000","4.2639","1.7473"
"","129.0000","4.2971","1.7521"
"","130.0000","4.3305","1.7568"
"","131.0000","4.3638","1.7614"
"","132.0000","4.3969","1.7656"
"","133.0000","4.4305","1.7700"
"","134.0000","4.4637","1.7743"
"","135.0000","4.4971","1.7783"
"","136.0000","4.5306","1.7824"
"","137.0000","4.5637","1.7864"
"","138.0000","4.5970","1.7901"
"","139.0000","4.6304","1.7938"
"","140.0000","4.6637","1.7974"
"","141.0000","4.6972","1.8009"
"","142.0000","4.7303","1.8043"
"","143.0000","4.7638","1.8076"
"","144.0000","4.7972","1.8106"
"","145.0000","4.8305","1.8138"
"","146.0000","4.8639","1.8169"
"","147.0000","4.8971","1.8197"
"","148.0000","4.9305","1.8225"
"","149.0000","4.9639","1.8252"
"","150.0000","4.9971","1.8277"
"","151.0000","5.0305","1.8303"
"","152.0000","5.0639","1.8327"
"","153.0000","5.0972","1.8350"
"","154.0000","5.1306","1.8373"
"","155.0000","5.1639","1.8394"
"","156.0000","5.1971","1.8413"
"","157.0000","5.2304","1.8433"
"","158.0000","5.2637","1.8452"
"","159.0000","5.2970","1.8468"
"","160.0000","5.3305","1.8485"
"","161.0000","5.3636","1.8501"
"","162.0000","5.3970","1.8514"
"","163.0000","5.4305","1.8530"
"","164.0000","5.4638","1.8543"
"","165.0000","5.4971","1.8554"
"","166.0000","5.5303","1.8567"
"","167.0000","5.5637","1.8576"
"","168.0000","5.5971","1.8586"
"","169.0000","5.6304","1.8595"
"","170.0000","5.6638","1.8604"
"","171.0000","5.6972","1.8610"
"","172.0000","5.7305","1.8618"
"","173.0000","5.7639","1.8622"
"","174.0000","5.7972","1.8628"
"","175.0000","5.8305","1.8631"
"","176.0000","5.8639","1.8633"
"","177.0000","5.8971","1.8635"
"","178.0000","5.9305","1.8637"
