SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-5.1880E+00,-3.3220E+02,2.2552E-03,1.0632E-02,0.0000E+00,4.0000E+00,3.3053E-03,-6.3456E-02,1.4962E-01,4.3435E-03
3,5.0000E+01,8.7500E+02,-5.1241E+00,-3.3011E+02,2.3107E-03,1.3694E-02,0.0000E+00,4.0000E+00,3.3767E-03,-6.2782E-02,1.5212E-01,3.4921E-03
4,5.0000E+01,8.9000E+02,-5.1350E+00,-3.2794E+02,2.7040E-03,1.4804E-02,0.0000E+00,4.0000E+00,4.1409E-03,-6.1906E-02,1.5708E-01,3.1210E-03
5,5.0000E+01,9.0500E+02,-5.0971E+00,-3.2571E+02,2.9063E-03,1.8241E-02,0.0000E+00,4.0000E+00,4.4565E-03,-6.1030E-02,1.6232E-01,2.5542E-03
6,5.0000E+01,9.2000E+02,-5.0574E+00,-3.2337E+02,2.6686E-03,1.7699E-02,0.0000E+00,4.0000E+00,4.0729E-03,-6.1362E-02,1.5998E-01,2.3386E-03
7,5.0000E+01,9.3500E+02,-4.9532E+00,-3.2121E+02,2.5783E-03,1.3380E-02,0.0000E+00,4.0000E+00,3.9501E-03,-6.2398E-02,1.5460E-01,1.6203E-03
8,5.0000E+01,9.5000E+02,-4.8875E+00,-3.1904E+02,2.3969E-03,1.1863E-02,0.0000E+00,4.0000E+00,3.5906E-03,-6.3484E-02,1.5550E-01,1.0120E-03
9,5.0000E+01,9.6500E+02,-4.8609E+00,-3.1687E+02,2.5881E-03,1.3031E-02,0.0000E+00,4.0000E+00,3.9638E-03,-6.4089E-02,1.5444E-01,9.4032E-04
10,5.0000E+01,9.8000E+02,-4.8114E+00,-3.1473E+02,2.5593E-03,1.6231E-02,0.0000E+00,4.0000E+00,3.8806E-03,-6.3873E-02,1.5386E-01,1.1525E-03
11,5.0000E+01,9.9500E+02,-4.7858E+00,-3.1255E+02,2.5775E-03,1.4289E-02,0.0000E+00,4.0000E+00,3.9020E-03,-6.3174E-02,1.5401E-01,9.6048E-04
12,5.0000E+01,1.0100E+03,-4.7671E+00,-3.1043E+02,2.5166E-03,1.4129E-02,0.0000E+00,4.0000E+00,3.7658E-03,-6.2501E-02,1.5216E-01,1.6170E-03
13,5.0000E+01,1.0250E+03,-4.7204E+00,-3.0831E+02,2.6180E-03,1.2853E-02,0.0000E+00,4.0000E+00,3.9428E-03,-6.1908E-02,1.5090E-01,2.0416E-03
14,5.0000E+01,1.0400E+03,-4.7229E+00,-3.0622E+02,2.4737E-03,1.3555E-02,0.0000E+00,4.0000E+00,3.7931E-03,-6.1110E-02,1.5140E-01,1.9595E-03
15,5.0000E+01,1.0550E+03,-4.7148E+00,-3.0407E+02,2.2784E-03,1.5322E-02,0.0000E+00,4.0000E+00,3.5562E-03,-6.0689E-02,1.5361E-01,2.0735E-03
16,5.0000E+01,1.0700E+03,-4.6786E+00,-3.0190E+02,2.6701E-03,1.6381E-02,0.0000E+00,4.0000E+00,4.1206E-03,-6.0446E-02,1.5521E-01,1.1195E-03
