SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-6.4532E+00,-2.8787E+02,2.3980E-03,8.3751E-03,0.0000E+00,4.0000E+00,3.5137E-03,-5.4829E-02,1.2484E-01,4.0161E-03
3,5.0000E+01,8.7500E+02,-6.3792E+00,-2.8611E+02,2.1899E-03,9.3865E-03,0.0000E+00,4.0000E+00,3.1994E-03,-5.4452E-02,1.2705E-01,2.7673E-03
4,5.0000E+01,8.9000E+02,-6.4132E+00,-2.8429E+02,2.5130E-03,1.0261E-02,0.0000E+00,4.0000E+00,3.8486E-03,-5.4154E-02,1.3103E-01,2.2812E-03
5,5.0000E+01,9.0500E+02,-6.3769E+00,-2.8240E+02,2.7189E-03,1.3463E-02,0.0000E+00,4.0000E+00,4.1686E-03,-5.2711E-02,1.3352E-01,1.6652E-03
6,5.0000E+01,9.2000E+02,-6.4031E+00,-2.8048E+02,2.8625E-03,1.3867E-02,0.0000E+00,4.0000E+00,4.3683E-03,-5.1801E-02,1.3271E-01,1.1782E-03
7,5.0000E+01,9.3500E+02,-6.3380E+00,-2.7863E+02,2.9072E-03,1.1172E-02,0.0000E+00,4.0000E+00,4.4531E-03,-5.1132E-02,1.3026E-01,1.2377E-03
8,5.0000E+01,9.5000E+02,-6.3002E+00,-2.7680E+02,2.6490E-03,9.6235E-03,0.0000E+00,4.0000E+00,3.9678E-03,-5.1566E-02,1.3160E-01,1.4642E-03
9,5.0000E+01,9.6500E+02,-6.2541E+00,-2.7493E+02,2.4605E-03,9.8028E-03,0.0000E+00,4.0000E+00,3.7676E-03,-5.2691E-02,1.3170E-01,1.6881E-03
10,5.0000E+01,9.8000E+02,-6.1936E+00,-2.7308E+02,2.6168E-03,1.2150E-02,0.0000E+00,4.0000E+00,3.9660E-03,-5.3598E-02,1.3064E-01,1.4179E-03
11,5.0000E+01,9.9500E+02,-6.1510E+00,-2.7121E+02,2.7970E-03,1.1012E-02,0.0000E+00,4.0000E+00,4.2314E-03,-5.4099E-02,1.2908E-01,9.4756E-04
12,5.0000E+01,1.0100E+03,-6.1315E+00,-2.6944E+02,2.7108E-03,1.0770E-02,0.0000E+00,4.0000E+00,4.0540E-03,-5.4392E-02,1.2674E-01,1.5426E-03
13,5.0000E+01,1.0250E+03,-6.0606E+00,-2.6765E+02,2.6366E-03,9.8987E-03,0.0000E+00,4.0000E+00,3.9685E-03,-5.4845E-02,1.2667E-01,1.9437E-03
14,5.0000E+01,1.0400E+03,-6.0531E+00,-2.6587E+02,2.3407E-03,1.0270E-02,0.0000E+00,4.0000E+00,3.5879E-03,-5.4979E-02,1.2857E-01,1.4226E-03
15,5.0000E+01,1.0550E+03,-6.0472E+00,-2.6400E+02,2.3585E-03,1.1611E-02,0.0000E+00,4.0000E+00,3.6804E-03,-5.4965E-02,1.3084E-01,1.5077E-03
16,5.0000E+01,1.0700E+03,-6.0198E+00,-2.6216E+02,2.6204E-03,1.1910E-02,0.0000E+00,4.0000E+00,4.0430E-03,-5.4630E-02,1.3049E-01,1.4394E-03
