SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,4.1000E+02,4.4322E+01,-7.0940E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,4.2500E+02,4.4287E+01,-5.0704E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,4.4000E+02,4.4261E+01,-5.1014E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
3,5.0000E+01,4.5500E+02,4.4134E+01,-3.7556E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
4,5.0000E+01,4.7000E+02,4.4185E+01,-6.4434E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
5,5.0000E+01,4.8500E+02,4.4201E+01,-9.6363E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
6,5.0000E+01,5.0000E+02,4.4316E+01,-1.1622E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,5.0000E+01,5.1500E+02,4.4379E+01,-8.9796E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
8,5.0000E+01,5.3000E+02,4.4426E+01,-1.0855E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,5.0000E+01,5.4500E+02,4.4455E+01,-9.9294E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
10,5.0000E+01,5.6000E+02,4.4575E+01,-1.2584E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,5.0000E+01,5.7500E+02,4.4583E+01,-1.0224E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
12,5.0000E+01,5.9000E+02,1.4502E+00,-3.7468E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
13,5.0000E+01,6.0500E+02,4.4626E+01,-1.0776E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
14,5.0000E+01,6.2000E+02,0.0000E+00,0.0000E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
15,5.0000E+01,6.3500E+02,4.4671E+01,-1.1708E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
16,5.0000E+01,6.5000E+02,4.4694E+01,-1.2867E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
17,5.0000E+01,6.6500E+02,4.4726E+01,-1.0820E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
18,5.0000E+01,6.8000E+02,4.4731E+01,-5.1110E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
19,5.0000E+01,6.9500E+02,4.4807E+01,-1.1256E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
20,5.0000E+01,7.1000E+02,1.8197E+00,-6.9934E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
21,5.0000E+01,7.2500E+02,4.4810E+01,-1.4840E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
22,5.0000E+01,7.4000E+02,4.4806E+01,-1.1038E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
23,5.0000E+01,7.5500E+02,4.4765E+01,-7.6551E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
24,5.0000E+01,7.7000E+02,1.7198E+00,2.2477E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
25,5.0000E+01,7.8500E+02,4.4753E+01,-1.0418E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
26,5.0000E+01,8.0000E+02,4.6167E+01,-1.0490E+02,4.4391E-03,1.9272E-01,0.0000E+00,4.0000E+00,6.6791E-03,-4.3084E-02,5.6113E-02,8.5446E-04
27,5.0000E+01,8.1500E+02,4.6072E+01,-1.0417E+02,2.9548E-03,8.8948E-02,0.0000E+00,4.0000E+00,4.3596E-03,-3.6284E-02,4.9861E-02,1.1577E-03
28,5.0000E+01,8.3000E+02,4.6205E+01,-1.0351E+02,3.3181E-03,4.3984E-02,0.0000E+00,4.0000E+00,4.8660E-03,-2.3599E-02,4.5572E-02,-9.4694E-04
29,5.0000E+01,8.4500E+02,4.6121E+01,-1.0284E+02,3.2968E-03,3.0816E-02,0.0000E+00,4.0000E+00,4.8057E-03,-2.3020E-02,4.7912E-02,-1.1054E-03
30,5.0000E+01,8.6000E+02,4.6214E+01,-1.0216E+02,3.5044E-03,2.4439E-02,0.0000E+00,4.0000E+00,5.0394E-03,-2.4091E-02,4.8548E-02,2.8827E-04
31,5.0000E+01,8.7500E+02,4.6179E+01,-1.0143E+02,3.2565E-03,2.8217E-02,0.0000E+00,4.0000E+00,4.6255E-03,-2.3730E-02,4.4072E-02,3.5708E-04
32,5.0000E+01,8.9000E+02,4.6262E+01,-1.0082E+02,3.1202E-03,3.3559E-02,0.0000E+00,4.0000E+00,4.4050E-03,-2.2320E-02,3.7485E-02,5.3046E-04
33,5.0000E+01,9.0500E+02,4.6252E+01,-1.0031E+02,3.3232E-03,4.2381E-02,0.0000E+00,4.0000E+00,4.6895E-03,-1.9546E-02,3.5806E-02,-4.0963E-04
34,5.0000E+01,9.2000E+02,4.6254E+01,-9.9821E+01,3.4006E-03,4.4379E-02,0.0000E+00,4.0000E+00,4.9849E-03,-1.8452E-02,3.7967E-02,1.0361E-03
35,5.0000E+01,9.3500E+02,4.6270E+01,-9.9245E+01,3.9311E-03,3.6640E-02,0.0000E+00,4.0000E+00,5.8252E-03,-1.8468E-02,4.2268E-02,2.3955E-03
36,5.0000E+01,9.5000E+02,4.6260E+01,-9.8615E+01,3.4922E-03,3.1748E-02,0.0000E+00,4.0000E+00,5.1509E-03,-2.0375E-02,4.3803E-02,3.4960E-03
37,5.0000E+01,9.6500E+02,4.6343E+01,-9.7961E+01,3.5056E-03,2.7169E-02,0.0000E+00,4.0000E+00,5.1115E-03,-2.1756E-02,4.1309E-02,3.1727E-03
38,5.0000E+01,9.8000E+02,4.6291E+01,-9.7383E+01,3.3093E-03,3.2036E-02,0.0000E+00,4.0000E+00,4.8149E-03,-2.1976E-02,3.8455E-02,5.0144E-03
39,5.0000E+01,9.9500E+02,4.6475E+01,-9.6825E+01,3.7024E-03,3.3638E-02,0.0000E+00,4.0000E+00,5.3712E-03,-2.1404E-02,4.1030E-02,5.5822E-03
40,5.0000E+01,1.0100E+03,4.6478E+01,-9.6168E+01,3.6293E-03,3.3906E-02,0.0000E+00,4.0000E+00,5.2558E-03,-2.0108E-02,4.3142E-02,5.1659E-03
41,5.0000E+01,1.0250E+03,4.6618E+01,-9.5581E+01,3.8544E-03,2.7360E-02,0.0000E+00,4.0000E+00,5.6001E-03,-2.0376E-02,3.9067E-02,4.4023E-03
42,5.0000E+01,1.0400E+03,4.6550E+01,-9.5040E+01,3.7717E-03,2.8121E-02,0.0000E+00,4.0000E+00,5.4928E-03,-1.9996E-02,3.6274E-02,4.9137E-03
43,5.0000E+01,1.0550E+03,4.6691E+01,-9.4521E+01,3.7170E-03,2.5271E-02,0.0000E+00,4.0000E+00,5.5200E-03,-2.1783E-02,3.9823E-02,6.1081E-03
44,5.0000E+01,1.0700E+03,4.6676E+01,-9.3894E+01,3.6743E-03,2.9042E-02,0.0000E+00,4.0000E+00,5.3505E-03,-2.3600E-02,4.3914E-02,6.2525E-03
45,5.0000E+01,1.0850E+03,4.6837E+01,-9.3227E+01,3.4366E-03,3.0561E-02,0.0000E+00,4.0000E+00,4.9702E-03,-2.5060E-02,4.3695E-02,6.3906E-03
46,5.0000E+01,1.1000E+03,4.6775E+01,-9.2604E+01,3.2801E-03,4.1575E-02,0.0000E+00,4.0000E+00,4.6483E-03,-2.5797E-02,4.2623E-02,4.1715E-03
47,5.0000E+01,1.1150E+03,4.6797E+01,-9.1994E+01,3.2044E-03,6.5163E-02,0.0000E+00,4.0000E+00,4.5658E-03,-2.6047E-02,4.3976E-02,6.1557E-03
48,5.0000E+01,1.1300E+03,4.6819E+01,-9.1338E+01,3.1510E-03,7.4080E-02,0.0000E+00,4.0000E+00,4.4928E-03,-2.6447E-02,4.5769E-02,5.8610E-03
49,5.0000E+01,1.1450E+03,4.6821E+01,-9.0630E+01,3.0469E-03,7.9380E-02,0.0000E+00,4.0000E+00,4.3777E-03,-2.5851E-02,4.0746E-02,4.5807E-03
50,5.0000E+01,1.1600E+03,4.6790E+01,-9.0093E+01,3.0302E-03,7.4517E-02,0.0000E+00,4.0000E+00,4.3890E-03,-2.4065E-02,3.4582E-02,4.4890E-03
