 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000             -14             -14             -15             -15          0.0000;
     1    0.009             -13             -13             -15             -15          0.5000;
     2    0.018             -11              -9             -15             -15          0.5000;
     3    0.027              -6              -3             -15             -15          0.5000;
     4    0.035               3               7             -15             -15          0.5000;
     5    0.044              15              20             -14             -15          0.5000;
     6    0.053              29              35             -13             -14          0.5000;
     7    0.062              45              52             -12             -13          0.5000;
     8    0.071              62              70             -10             -12          0.5000;
     9    0.080              81              89              -8             -11          0.5000;
    10    0.089             100             107              -6              -9          0.5000;
    11    0.097             119             126              -4              -7          0.5000;
    12    0.106             137             145              -1              -6          0.5000;
    13    0.115             155             162               1              -3          0.5000;
    14    0.124             172             178               4              -1          0.5000;
    15    0.133             187             193               7               1          0.5000;
    16    0.142             201             206              10               5          0.5000;
    17    0.151             212             216              13               7          0.5000;
    18    0.159             222             225              16              10          0.5000;
    19    0.168             228             230              18              12          0.5000;
    20    0.177             233             233              19              13          0.5000;
    21    0.186             234             234              19              13          0.5000;
    22    0.195             233             232              17              12          0.5000;
    23    0.204             230             228              14              10          0.5000;
    24    0.213             225             222              11               8          0.5000;
    25    0.221             217             214               9               6          0.5000;
    26    0.230             209             205               7               4          0.5000;
    27    0.239             199             195               5               3          0.5000;
    28    0.248             189             184               3               1          0.5000;
    29    0.257             178             173               2               0          0.5000;
    30    0.266             167             162               1              -0          0.5000;
    31    0.274             156             152               0              -1          0.5000;
    32    0.283             146             142              -1              -2          0.5000;
    33    0.292             137             133              -1              -3          0.5000;
    34    0.301             129             125              -2              -3          0.5000;
    35    0.310             121             119              -2              -3          0.5000;
    36    0.319             115             113              -2              -3          0.5000;
    37    0.328             111             110              -1              -3          0.5000;
    38    0.336             108             107              -1              -3          0.5000;
    39    0.345             107             107              -1              -2          0.5000;
    40    0.354             108             108               0              -2          0.5000;
    41    0.363             110             111               1              -1          0.5000;
    42    0.372             113             115               2              -0          0.5000;
    43    0.381             118             119               3               0          0.5000;
    44    0.390             123             125               4               1          0.5000;
    45    0.398             129             131               5               1          0.5000;
    46    0.407             135             137               7               2          0.5000;
    47    0.416             141             143               8               4          0.5000;
    48    0.425             147             149               9               5          0.5000;
    49    0.434             153             155              11               5          0.5000;
    50    0.443             158             160              12               7          0.5000;
    51    0.452             163             165              13               8          0.5000;
    52    0.460             167             169              15               9          0.5000;
    53    0.469             171             172              16              10          0.5000;
    54    0.478             174             175              16              11          0.5000;
    55    0.487             176             177              17              11          0.5000;
    56    0.496             177             178              18              12          0.5000;
    57    0.505             178             178              19              13          0.5000;
    58    0.514             177             177              19              13          0.5000;
    59    0.522             176             176              19              13          0.5000;
    60    0.531             175             174              19              13          0.5000;
    61    0.540             173             172              19              13          0.5000;
    62    0.549             171             170              19              13          0.5000;
    63    0.558             168             167              19              13          0.5000;
    64    0.567             166             165              19              13          0.5000;
    65    0.576             164             163              18              13          0.5000;
    66    0.584             163             162              18              13          0.5000;
    67    0.593             161             161              18              12          0.5000;
    68    0.602             161             160              17              12          0.5000;
    69    0.611             160             160              16              12          0.5000;
    70    0.620             160             160              16              12          0.5000;
    71    0.629             161             161              16              12          0.5000;
    72    0.638             161             162              16              12          0.5000;
    73    0.646             162             163              18              12          0.5000;
    74    0.655             164             164              18              13          0.5000;
    75    0.664             165             165              18              13          0.5000;
    76    0.673             166             167              19              13          0.5000;
    77    0.682             167             167              19              13          0.5000;
    78    0.691             168             169              19              13          0.5000;
    79    0.699             169             169              19              13          0.5000;
    80    0.708             169             169              19              13          0.5000;
    81    0.717             169             169              19              13          0.5000;
    82    0.726             169             169              19              13          0.5000;
    83    0.735             169             168              19              13          0.5000;
    84    0.744             168             167              19              13          0.5000;
    85    0.753             167             167              20              13          0.5000;
    86    0.761             166             166              20              13          0.5000;
    87    0.770             166             165              20              13          0.5000;
    88    0.779             165             165              20              13          0.5000;
    89    0.788             165             165              20              14          0.5000;
    90    0.797             165             165              20              14          0.5000;
    91    0.806             165             165              20              14          0.5000;
    92    0.815             165             165              20              14          0.5000;
    93    0.823             166             166              20              14          0.5000;
    94    0.832             166             166              19              14          0.5000;
    95    0.841             167             167              19              14          0.5000;
    96    0.850             167             167              19              14          0.5000;
    97    0.859             167             168              19              14          0.5000;
    98    0.868             168             168              19              14          0.5000;
    99    0.877             168             168              19              14          0.5000;
   100    0.885             168             168              20              14          0.5000;
   101    0.894             167             167              20              14          0.5000;
   102    0.903             167             167              20              14          0.5000;
   103    0.912             167             167              20              14          0.5000;
   104    0.921             167             166              20              14          0.5000;
   105    0.930             166             166              20              14          0.5000;
   106    0.939             166             166              20              14          0.5000;
   107    0.947             166             166              20              14          0.5000;
   108    0.956             166             166              20              14          0.5000;
   109    0.965             166             166              22              15          0.5000;
   110    0.974             166             166              22              16          0.5000;
   111    0.983             166             167              23              16          0.5000;
   112    0.992             167             167              23              17          0.5000;
   113    1.001             167             168              24              17          0.5000;
   114    1.009             168             168              24              17          0.5000;
   115    1.018             169             169              24              17          0.5000;
   116    1.027             169             169              24              18          0.5000;
   117    1.036             169             169              25              18          0.5000;
   118    1.045             169             169              25              18          0.5000;
   119    1.054             169             169              25              18          0.5000;
   120    1.063             169             169              25              18          0.5000;
   121    1.071             169             169              25              18          0.5000;
   122    1.080             169             169              25              18          0.5000;
   123    1.089             168             168              25              18          0.5000;
   124    1.098             168             168              25              18          0.5000;
   125    1.107             168             167              25              18          0.5000;
   126    1.116             167             167              25              19          0.5000;
   127    1.124             167             167              25              18          0.5000;
   128    1.133             167             167              24              18          0.5000;
   129    1.142             167             167              24              18          0.5000;
   130    1.151             168             168              24              18          0.5000;
   131    1.160             168             168              23              17          0.5000;
   132    1.169             168             168              22              17          0.5000;
   133    1.178             168             168              22              17          0.5000;
   134    1.186             168             168              22              16          0.5000;
   135    1.195             168             168              21              16          0.5000;
   136    1.204             168             168              21              16          0.5000;
   137    1.213             168             168              21              16          0.5000;
   138    1.222             168             168              20              16          0.5000;
   139    1.231             167             167              20              16          0.5000;
   140    1.240             167             167              20              15          0.5000;
   141    1.248             167             167              20              15          0.5000;
   142    1.257             167             167              22              17          0.5000;
   143    1.266             167             167              22              17          0.5000;
   144    1.275             167             167              22              17          0.5000;
   145    1.284             167             167              22              17          0.5000;
   146    1.293             167             167              23              17          0.5000;
   147    1.302             167             167              23              17          0.5000;
   148    1.310             168             168              23              17          0.5000;
   149    1.319             168             168              24              17          0.5000;
   150    1.328             169             169              25              18          0.5000;
   151    1.337             169             169              26              19          0.5000;
   152    1.346             169             169              27              20          0.5000;
   153    1.355             169             169              27              20          0.5000;
   154    1.364             169             169              27              21          0.5000;
   155    1.372             169             169              28              21          0.5000;
