 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               4               3               4          0.5000;
     1    0.009               4               3               4          0.5000;
     2    0.018               4               8               4          0.5000;
     3    0.027               4              17               4          0.5000;
     4    0.035               4              30               4          0.5000;
     5    0.044               4              46               5          0.5000;
     6    0.053               4              66               5          0.5000;
     7    0.062               4              89               5          0.5000;
     8    0.071               5             114               5          0.5000;
     9    0.080               5             140               6          0.5000;
    10    0.089               6             168               6          0.5000;
    11    0.097               6             194               7          0.5000;
    12    0.106               7             221               8          0.5000;
    13    0.115               8             246              10          0.5000;
    14    0.124               9             269              11          0.5000;
    15    0.133              11             289              12          0.5000;
    16    0.142              12             308              14          0.5000;
    17    0.151              13             323              15          0.5000;
    18    0.159              14             336              16          0.5000;
    19    0.168              15             346              17          0.5000;
    20    0.177              16             353              18          0.5000;
    21    0.186              17             357              18          0.5000;
    22    0.195              17             358              19          0.5000;
    23    0.204              18             356              19          0.5000;
    24    0.213              18             351              19          0.5000;
    25    0.221              18             344              19          0.5000;
    26    0.230              18             335              19          0.5000;
    27    0.239              18             324              19          0.5000;
    28    0.248              18             312              19          0.5000;
    29    0.257              18             299              19          0.5000;
    30    0.266              18             285              19          0.5000;
    31    0.274              18             271              19          0.5000;
    32    0.283              18             257              18          0.5000;
    33    0.292              17             243              18          0.5000;
    34    0.301              17             229              18          0.5000;
    35    0.310              17             216              17          0.5000;
    36    0.319              16             203              16          0.5000;
    37    0.328              15             192              15          0.5000;
    38    0.336              15             182              14          0.5000;
    39    0.345              14             175              13          0.5000;
    40    0.354              14             169              12          0.5000;
    41    0.363              13             165              11          0.5000;
    42    0.372              12             163              11          0.5000;
    43    0.381              12             163              10          0.5000;
    44    0.390              12             166              10          0.5000;
    45    0.398              11             171              10          0.5000;
    46    0.407              11             176              10          0.5000;
    47    0.416              12             183              10          0.5000;
    48    0.425              12             190              11          0.5000;
    49    0.434              12             198              11          0.5000;
    50    0.443              12             206              11          0.5000;
    51    0.452              13             213              11          0.5000;
    52    0.460              13             220              11          0.5000;
    53    0.469              13             227              12          0.5000;
    54    0.478              13             232              12          0.5000;
    55    0.487              13             237              12          0.5000;
    56    0.496              13             240              12          0.5000;
    57    0.505              13             243              12          0.5000;
    58    0.514              13             244              12          0.5000;
    59    0.522              13             243              12          0.5000;
    60    0.531              13             241              12          0.5000;
    61    0.540              13             238              12          0.5000;
    62    0.549              13             235              12          0.5000;
    63    0.558              13             231              12          0.5000;
    64    0.567              13             227              12          0.5000;
    65    0.576              13             223              12          0.5000;
    66    0.584              13             219              12          0.5000;
    67    0.593              13             215              12          0.5000;
    68    0.602              13             213              12          0.5000;
    69    0.611              13             210              12          0.5000;
    70    0.620              13             209              12          0.5000;
    71    0.629              13             208              11          0.5000;
    72    0.638              13             208              11          0.5000;
    73    0.646              13             208              11          0.5000;
    74    0.655              13             210              11          0.5000;
    75    0.664              12             212              11          0.5000;
    76    0.673              12             214              11          0.5000;
    77    0.682              12             216              11          0.5000;
    78    0.691              12             218              11          0.5000;
    79    0.699              13             220              11          0.5000;
    80    0.708              13             222              11          0.5000;
    81    0.717              13             224              11          0.5000;
    82    0.726              13             224              11          0.5000;
    83    0.735              13             225              12          0.5000;
    84    0.744              13             225              12          0.5000;
    85    0.753              13             225              12          0.5000;
    86    0.761              13             224              12          0.5000;
    87    0.770              13             223              12          0.5000;
    88    0.779              13             221              12          0.5000;
    89    0.788              13             220              12          0.5000;
    90    0.797              13             219              12          0.5000;
    91    0.806              13             217              12          0.5000;
    92    0.815              13             217              12          0.5000;
    93    0.823              13             216              12          0.5000;
    94    0.832              13             216              12          0.5000;
    95    0.841              13             216              12          0.5000;
    96    0.850              13             218              12          0.5000;
    97    0.859              13             218              12          0.5000;
    98    0.868              13             219              12          0.5000;
    99    0.877              13             220              12          0.5000;
   100    0.885              13             220              12          0.5000;
   101    0.894              13             221              12          0.5000;
   102    0.903              13             222              12          0.5000;
   103    0.912              13             222              12          0.5000;
   104    0.921              13             222              13          0.5000;
   105    0.930              13             222              13          0.5000;
   106    0.939              13             222              13          0.5000;
   107    0.947              13             221              12          0.5000;
   108    0.956              13             221              12          0.5000;
   109    0.965              13             220              12          0.5000;
   110    0.974              13             219              12          0.5000;
   111    0.983              13             219              12          0.5000;
   112    0.992              13             218              12          0.5000;
   113    1.001              13             218              12          0.5000;
   114    1.009              13             218              12          0.5000;
   115    1.018              13             218              12          0.5000;
   116    1.027              13             218              12          0.5000;
   117    1.036              13             220              12          0.5000;
   118    1.045              13             220              12          0.5000;
   119    1.054              13             220              12          0.5000;
   120    1.063              13             221              12          0.5000;
   121    1.071              13             221              12          0.5000;
   122    1.080              13             221              12          0.5000;
   123    1.089              13             222              12          0.5000;
   124    1.098              13             221              12          0.5000;
   125    1.107              13             221              12          0.5000;
   126    1.116              13             221              12          0.5000;
   127    1.124              13             220              12          0.5000;
   128    1.133              13             220              11          0.5000;
   129    1.142              13             219              11          0.5000;
   130    1.151              13             219              11          0.5000;
   131    1.160              12             219              11          0.5000;
   132    1.169              12             218              11          0.5000;
   133    1.178              12             218              11          0.5000;
   134    1.186              12             218              11          0.5000;
   135    1.195              12             220              11          0.5000;
   136    1.204              12             220              11          0.5000;
   137    1.213              12             220              11          0.5000;
   138    1.222              12             220              11          0.5000;
   139    1.231              12             220              11          0.5000;
   140    1.240              12             220              11          0.5000;
   141    1.248              12             221              11          0.5000;
   142    1.257              12             221              11          0.5000;
   143    1.266              12             221              11          0.5000;
   144    1.275              12             220              11          0.5000;
   145    1.284              13             220              11          0.5000;
   146    1.293              13             220              12          0.5000;
   147    1.302              13             220              12          0.5000;
   148    1.310              13             220              12          0.5000;
   149    1.319              13             220              11          0.5000;
   150    1.328              13             220              11          0.5000;
   151    1.337              13             220              11          0.5000;
   152    1.346              12             220              11          0.5000;
   153    1.355              12             220              11          0.5000;
   154    1.364              12             220              11          0.5000;
   155    1.372              12             220              11          0.5000;
   156    1.381              12             220              11          0.5000;
   157    1.390              12             220              11          0.5000;
   158    1.399              13             220              12          0.5000;
   159    1.408              13             220              12          0.5000;
   160    1.417              13             220              12          0.5000;
   161    1.426              13             220              12          0.5000;
   162    1.434              13             220              12          0.5000;
   163    1.443              13             220              12          0.5000;
   164    1.452              13             220              12          0.5000;
   165    1.461              13             220              12          0.5000;
   166    1.470              13             220              11          0.5000;
   167    1.479              13             220              11          0.5000;
   168    1.488              13             220              11          0.5000;
   169    1.496              13             220              11          0.5000;
   170    1.505              13             220              11          0.5000;
   171    1.514              13             220              11          0.5000;
   172    1.523              13             220              11          0.5000;
   173    1.532              12             220              11          0.5000;
   174    1.541              12             220              10          0.5000;
   175    1.549              12             220              10          0.5000;
   176    1.558              12             220              10          0.5000;
   177    1.567              12             220              10          0.5000;
   178    1.576              12             220              10          0.5000;
   179    1.585              12             220              10          0.5000;
   180    1.594              12             220              10          0.5000;
   181    1.603              12             220              10          0.5000;
   182    1.611              12             220              10          0.5000;
   183    1.620              12             220              10          0.5000;
   184    1.629              11             220              10          0.5000;
   185    1.638              11             220              10          0.5000;
   186    1.647              11             220              10          0.5000;
   187    1.656              12             220              10          0.5000;
   188    1.665              12             220              10          0.5000;
   189    1.673              12             220              10          0.5000;
   190    1.682              12             220              10          0.5000;
   191    1.691              12             220              11          0.5000;
   192    1.700              12             220              11          0.5000;
   193    1.709              12             220              11          0.5000;
   194    1.718              12             220              11          0.5000;
   195    1.727              12             220              11          0.5000;
   196    1.735              12             220              11          0.5000;
   197    1.744              12             220              11          0.5000;
   198    1.753              12             220              11          0.5000;
   199    1.762              13             220              11          0.5000;
   200    1.771              13             220              11          0.5000;
   201    1.780              13             220              11          0.5000;
   202    1.789              13             220              11          0.5000;
   203    1.797              12             220              11          0.5000;
   204    1.806              12             220              11          0.5000;
   205    1.815              12             220              11          0.5000;
   206    1.824              12             220              11          0.5000;
   207    1.833              12             220              11          0.5000;
   208    1.842              13             220              11          0.5000;
   209    1.851              13             220              11          0.5000;
   210    1.859              13             220              11          0.5000;
   211    1.868              13             220              11          0.5000;
   212    1.877              13             220              11          0.5000;
   213    1.886              13             220              11          0.5000;
   214    1.895              13             220              11          0.5000;
   215    1.904              13             220              11          0.5000;
   216    1.913              13             220              11          0.5000;
   217    1.921              13             220              11          0.5000;
   218    1.930              13             220              11          0.5000;
   219    1.939              13             220              11          0.5000;
   220    1.948              12             220              11          0.5000;
   221    1.957              12             220              11          0.5000;
   222    1.966              12             220              11          0.5000;
   223    1.974              13             220              11          0.5000;
   224    1.983              13             220              11          0.5000;
   225    1.992              13             220              12          0.5000;
   226    2.001              13             220              12          0.5000;
   227    2.010              13             220              12          0.5000;
   228    2.019              13             220              12          0.5000;
   229    2.028              13             220              12          0.5000;
   230    2.036              13             220              12          0.5000;
   231    2.045              13             220              12          0.5000;
   232    2.054              13             220              12          0.5000;
   233    2.063              13             221              12          0.5000;
   234    2.072              13             221              12          0.5000;
   235    2.081              13             221              13          0.5000;
