 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000              -1               1              -2          0.0000;
     1    0.009              -1               1              -2          0.0000;
     2    0.018              -1               1              -1          0.0000;
     3    0.027               0               1              -1          0.0000;
     4    0.035               0               1              -0          0.0000;
     5    0.044               0               1               0          0.0000;
     6    0.053               1               1               1          0.0000;
     7    0.062               1               1               1          0.0000;
     8    0.071               1               1               1          0.0000;
     9    0.080               1               1               2          0.0000;
    10    0.089               1               1               2          0.0000;
    11    0.097               1               1               1          0.0000;
    12    0.106               1               1               1          0.0000;
    13    0.115               1               1               1          0.0000;
    14    0.124               1               1               1          0.0000;
    15    0.133               1               1               1          0.0000;
    16    0.142               1               1               1          0.0000;
    17    0.151               1               1               1          0.0000;
    18    0.159               2               1               2          0.0000;
    19    0.168               2               1               2          0.0000;
    20    0.177               2               1               2          0.0000;
    21    0.186               2               1               2          0.0000;
    22    0.195               2               1               2          0.0000;
    23    0.204               2               1               2          0.0000;
    24    0.213               2               1               2          0.0000;
    25    0.221               2               1               3          0.0000;
    26    0.230               2               1               3          0.0000;
    27    0.239               3               1               3          0.0000;
    28    0.248               3               1               4          0.0000;
    29    0.257               3               1               5          0.0000;
    30    0.266               4               1               5          0.0000;
    31    0.274               4               1               6          0.0000;
    32    0.283               4               1               6          0.0000;
    33    0.292               5               1               6          0.0000;
    34    0.301               5               1               6          0.0000;
    35    0.310               5               1               6          0.0000;
    36    0.319               5               1               6          0.0000;
    37    0.328               4               1               5          0.0000;
    38    0.336               4               1               5          0.0000;
    39    0.345               4               1               4          0.0000;
    40    0.354               4               1               3          0.0000;
    41    0.363               4               1               3          0.0000;
    42    0.372               4               1               3          0.0000;
    43    0.381               4               1               3          0.0000;
    44    0.390               4               1               5          0.0000;
    45    0.398               4               1               5          0.0000;
    46    0.407               4               1               5          0.0000;
    47    0.416               4               1               5          0.0000;
    48    0.425               5               1               6          0.0000;
    49    0.434               5               1               6          0.0000;
    50    0.443               5               1               6          0.0000;
    51    0.452               5               1               6          0.0000;
    52    0.460               5               1               6          0.0000;
    53    0.469               5               1               6          0.0000;
    54    0.478               5               1               7          0.0000;
    55    0.487               5               1               7          0.0000;
    56    0.496               5               1               7          0.0000;
    57    0.505               5               1               7          0.0000;
    58    0.514               5               1               7          0.0000;
    59    0.522               6               1               7          0.0000;
    60    0.531               6               1               7          0.0000;
    61    0.540               6               1               7          0.0000;
    62    0.549               5               1               7          0.0000;
    63    0.558               5               1               7          0.0000;
    64    0.567               5               1               7          0.0000;
    65    0.576               5               1               7          0.0000;
    66    0.584               5               1               7          0.0000;
    67    0.593               5               1               7          0.0000;
    68    0.602               6               1               7          0.0000;
    69    0.611               6               1               7          0.0000;
    70    0.620               6               1               7          0.0000;
    71    0.629               6               1               7          0.0000;
    72    0.638               6               1               7          0.0000;
    73    0.646               6               1               7          0.0000;
    74    0.655               6               1               7          0.0000;
    75    0.664               6               1               7          0.0000;
    76    0.673               6               1               7          0.0000;
    77    0.682               6               1               7          0.0000;
    78    0.691               5               1               7          0.0000;
    79    0.699               5               1               7          0.0000;
    80    0.708               5               1               6          0.0000;
    81    0.717               5               1               6          0.0000;
    82    0.726               5               1               7          0.0000;
    83    0.735               5               1               7          0.0000;
    84    0.744               5               1               7          0.0000;
    85    0.753               5               1               7          0.0000;
    86    0.761               5               1               7          0.0000;
    87    0.770               5               1               7          0.0000;
    88    0.779               5               1               7          0.0000;
    89    0.788               5               1               7          0.0000;
    90    0.797               5               1               7          0.0000;
    91    0.806               5               1               7          0.0000;
    92    0.815               6               1               7          0.0000;
    93    0.823               6               1               7          0.0000;
    94    0.832               6               1               7          0.0000;
    95    0.841               6               1               7          0.0000;
    96    0.850               6               1               7          0.0000;
    97    0.859               6               1               7          0.0000;
    98    0.868               6               1               7          0.0000;
    99    0.877               6               1               8          0.0000;
   100    0.885               6               1               8          0.0000;
   101    0.894               6               1               7          0.0000;
   102    0.903               6               1               7          0.0000;
   103    0.912               6               1               7          0.0000;
   104    0.921               5               1               7          0.0000;
   105    0.930               5               1               7          0.0000;
   106    0.939               4               1               6          0.0000;
   107    0.947               4               1               6          0.0000;
   108    0.956               4               1               6          0.0000;
   109    0.965               4               1               6          0.0000;
   110    0.974               4               1               5          0.0000;
   111    0.983               4               0               5          0.0000;
   112    0.992               4               0               5          0.0000;
   113    1.001               4               0               4          0.0000;
   114    1.009               4               0               4          0.0000;
   115    1.018               4               0               3          0.0000;
   116    1.027               3               0               3          0.0000;
   117    1.036               3               0               3          0.0000;
   118    1.045               3               0               3          0.0000;
   119    1.054               3               0               3          0.0000;
   120    1.063               3               0               3          0.0000;
   121    1.071               3               0               3          0.0000;
   122    1.080               3               0               5          0.0000;
   123    1.089               3               1               5          0.0000;
   124    1.098               5               1               5          0.0000;
   125    1.107               5               1               5          0.0000;
   126    1.116               5               1               5          0.0000;
   127    1.124               5               1               6          0.0000;
   128    1.133               5               1               6          0.0000;
   129    1.142               5               1               7          0.0000;
   130    1.151               5               1               6          0.0000;
   131    1.160               5               1               6          0.0000;
   132    1.169               5               1               6          0.0000;
   133    1.178               5               1               6          0.0000;
   134    1.186               5               1               5          0.0000;
   135    1.195               5               1               5          0.0000;
   136    1.204               5               1               5          0.0000;
   137    1.213               5               1               6          0.0000;
   138    1.222               5               1               6          0.0000;
   139    1.231               5               1               6          0.0000;
   140    1.240               5               1               6          0.0000;
   141    1.248               5               1               6          0.0000;
   142    1.257               5               1               6          0.0000;
   143    1.266               5               1               7          0.0000;
   144    1.275               5               1               7          0.0000;
   145    1.284               5               1               7          0.0000;
   146    1.293               5               1               7          0.0000;
   147    1.302               5               1               7          0.0000;
   148    1.310               5               1               7          0.0000;
   149    1.319               5               1               7          0.0000;
   150    1.328               5               1               6          0.0000;
   151    1.337               5               1               6          0.0000;
   152    1.346               5               1               6          0.0000;
   153    1.355               5               1               6          0.0000;
   154    1.364               5               1               6          0.0000;
   155    1.372               5               1               6          0.0000;
   156    1.381               5               1               6          0.0000;
   157    1.390               5               1               7          0.0000;
   158    1.399               6               1               7          0.0000;
   159    1.408               6               1               7          0.0000;
   160    1.417               6               1               7          0.0000;
   161    1.426               6               1               8          0.0000;
   162    1.434               7               1               9          0.0000;
   163    1.443               8               1              10          0.0000;
   164    1.452               8               1              11          0.0000;
   165    1.461               9               1              11          0.0000;
   166    1.470               9               1              12          0.0000;
   167    1.479              10               1              13          0.0000;
   168    1.488              10               1              12          0.0000;
   169    1.496               9               1              10          0.0000;
   170    1.505               5               1               6          0.0000;
   171    1.514               2               1               1          0.0000;
   172    1.523              -1               1              -3          0.0000;
   173    1.532              -2               1              -4          0.0000;
   174    1.541               0               1              -0          0.0000;
   175    1.549               4               1               5          0.0000;
   176    1.558               6               1               7          0.0000;
   177    1.567               3               1               2          0.0000;
   178    1.576              -5               1              -9          0.0000;
   179    1.585             -22               1             -28          0.0000;
   180    1.594             -46               1             -53          0.0000;
   181    1.603             -76               1             -83          0.0000;
   182    1.611            -112               1            -118          0.0000;
   183    1.620            -150               1            -157          0.0000;
   184    1.629            -190               1            -199          0.0000;
   185    1.638            -234               1            -243          0.0000;
   186    1.647            -276               0            -287          0.0000;
   187    1.656            -317               0            -330          0.0000;
   188    1.665            -357               0            -371          0.0000;
   189    1.673            -397               0            -410          0.0000;
   190    1.682            -432               0            -444          0.0000;
   191    1.691            -462               0            -474          0.0000;
   192    1.700            -486               0            -498          0.0000;
   193    1.709            -504               0            -515          0.0000;
   194    1.718            -516               0            -526          0.0000;
   195    1.727            -520               0            -531          0.0000;
   196    1.735            -519               0            -528          0.0000;
   197    1.744            -512               0            -518          0.0000;
   198    1.753            -498               0            -502          0.0000;
   199    1.762            -477               0            -480          0.0000;
   200    1.771            -450               0            -452          0.0000;
   201    1.780            -417               0            -420          0.0000;
   202    1.789            -381               0            -384          0.0000;
   203    1.797            -343               0            -345          0.0000;
   204    1.806            -304               0            -305          0.0000;
   205    1.815            -265               0            -263          0.0000;
   206    1.824            -226               0            -223          0.0000;
   207    1.833            -187               1            -184          0.0000;
   208    1.842            -151               1            -147          0.0000;
   209    1.851            -118               1            -114          0.0000;
   210    1.859             -89               1             -86          0.0000;
   211    1.868             -65               1             -63          0.0000;
   212    1.877             -48               1             -45          0.0000;
   213    1.886             -36               1             -34          0.0000;
   214    1.895             -31               1             -29          0.0000;
   215    1.904             -33               1             -31          0.0000;
   216    1.913             -38               1             -39          0.0000;
   217    1.921             -50               1             -54          0.0000;
   218    1.930             -69               1             -74          0.0000;
   219    1.939             -94               1            -100          0.0000;
   220    1.948            -124               1            -130          0.0000;
   221    1.957            -157               1            -163          0.0000;
   222    1.966            -192               1            -200          0.0000;
   223    1.974            -230               1            -238          0.0000;
   224    1.983            -267               0            -277          0.0000;
   225    1.992            -304               0            -315          0.0000;
   226    2.001            -340               0            -352          0.0000;
   227    2.010            -373               0            -387          0.0000;
   228    2.019            -405               0            -418          0.0000;
   229    2.028            -433               0            -445          0.0000;
   230    2.036            -456               0            -467          0.0000;
   231    2.045            -473               0            -484          0.0000;
   232    2.054            -485               0            -495          0.0000;
   233    2.063            -490               0            -501          0.0000;
   234    2.072            -490               0            -499          0.0000;
   235    2.081            -485               0            -492          0.0000;
   236    2.090            -474               0            -479          0.0000;
   237    2.098            -457               0            -460          0.0000;
   238    2.107            -433               0            -437          0.0000;
   239    2.116            -406               0            -409          0.0000;
   240    2.125            -375               0            -377          0.0000;
   241    2.134            -341               0            -344          0.0000;
   242    2.143            -307               0            -308          0.0000;
   243    2.152            -272               0            -271          0.0000;
   244    2.160            -237               0            -235          0.0000;
   245    2.169            -204               0            -200          0.0000;
   246    2.178            -171               0            -168          0.0000;
   247    2.187            -141               1            -138          0.0000;
   248    2.196            -116               1            -112          0.0000;
   249    2.205             -94               1             -90          0.0000;
   250    2.214             -77               1             -74          0.0000;
   251    2.222             -66               1             -63          0.0000;
   252    2.231             -60               1             -58          0.0000;
   253    2.240             -60               1             -59          0.0000;
   254    2.249             -65               1             -66          0.0000;
   255    2.258             -75               1             -78          0.0000;
   256    2.267             -90               1             -95          0.0000;
   257    2.276            -112               1            -117          0.0000;
   258    2.284            -137               0            -143          0.0000;
   259    2.293            -166               0            -173          0.0000;
   260    2.302            -197               0            -204          0.0000;
   261    2.311            -230               0            -238          0.0000;
   262    2.320            -263               0            -272          0.0000;
   263    2.329            -295               0            -306          0.0000;
   264    2.338            -327               0            -339          0.0000;
   265    2.346            -357               0            -370          0.0000;
   266    2.355            -385               0            -398          0.0000;
   267    2.364            -410               0            -422          0.0000;
   268    2.373            -430               0            -442          0.0000;
   269    2.382            -447               0            -458          0.0000;
   270    2.391            -457               0            -468          0.0000;
   271    2.399            -462               0            -473          0.0000;
   272    2.408            -463               0            -472          0.0000;
   273    2.417            -459               0            -466          0.0000;
   274    2.426            -450               0            -455          0.0000;
   275    2.435            -435               0            -439          0.0000;
   276    2.444            -415               0            -419          0.0000;
   277    2.453            -391               0            -394          0.0000;
   278    2.461            -364               0            -367          0.0000;
   279    2.470            -335               0            -337          0.0000;
   280    2.479            -304               0            -306          0.0000;
   281    2.488            -275               0            -274          0.0000;
   282    2.497            -244               0            -242          0.0000;
   283    2.506            -214               0            -211          0.0000;
   284    2.515            -185               0            -182          0.0000;
   285    2.523            -159               0            -155          0.0000;
   286    2.532            -136               0            -132          0.0000;
   287    2.541            -117               0            -113          0.0000;
   288    2.550            -102               0             -99          0.0000;
   289    2.559             -92               0             -89          0.0000;
   290    2.568             -87               0             -84          0.0000;
   291    2.577             -88               0             -85          0.0000;
   292    2.585             -91               0             -90          0.0000;
   293    2.594             -99               0            -101          0.0000;
   294    2.603            -112               0            -117          0.0000;
   295    2.612            -131               0            -136          0.0000;
   296    2.621            -153               0            -159          0.0000;
   297    2.630            -178               0            -185          0.0000;
   298    2.639            -206               0            -213          0.0000;
   299    2.647            -235               0            -242          0.0000;
   300    2.656            -264               0            -273          0.0000;
   301    2.665            -292               0            -302          0.0000;
   302    2.674            -320               0            -332          0.0000;
   303    2.683            -346               0            -359          0.0000;
   304    2.692            -371               0            -383          0.0000;
   305    2.701            -393               0            -405          0.0000;
   306    2.709            -411               0            -422          0.0000;
   307    2.718            -425               0            -436          0.0000;
   308    2.727            -434               0            -445          0.0000;
   309    2.736            -438               0            -449          0.0000;
   310    2.745            -439               0            -448          0.0000;
   311    2.754            -435               0            -443          0.0000;
   312    2.763            -427               0            -433          0.0000;
   313    2.771            -414               0            -418          0.0000;
   314    2.780            -396               0            -400          0.0000;
   315    2.789            -375               0            -378          0.0000;
   316    2.798            -351               0            -354          0.0000;
   317    2.807            -325               0            -328          0.0000;
   318    2.816            -298               0            -300          0.0000;
   319    2.824            -272               0            -271          0.0000;
   320    2.833            -245               0            -243          0.0000;
   321    2.842            -219               0            -216          0.0000;
   322    2.851            -193               0            -190          0.0000;
