 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000               0               0               0               0          0.0000;
     1    0.009               1               2               0               0          0.7503;
     2    0.018               7               9               0               0          0.7503;
     3    0.027              18              21               1               0          0.7503;
     4    0.035              36              40               1               0          0.7503;
     5    0.044              59              64               3               2          0.7503;
     6    0.053              87              93               6               4          0.7503;
     7    0.062             120             126              12               8          0.7503;
     8    0.071             156             163              21              15          0.7503;
     9    0.080             194             202              33              27          0.7503;
    10    0.089             235             244              49              43          0.7503;
    11    0.097             277             285              70              64          0.7503;
    12    0.106             319             328              96              90          0.7503;
    13    0.115             361             369             129             121          0.7503;
    14    0.124             401             409             167             158          0.7503;
    15    0.133             440             448             211             202          0.7503;
    16    0.142             477             484             261             253          0.7503;
    17    0.151             513             521             316             307          0.7503;
    18    0.159             549             556             376             367          0.7503;
    19    0.168             585             593             441             431          0.7503;
    20    0.177             623             630             509             497          0.7503;
    21    0.186             662             670             579             568          0.7503;
    22    0.195             704             712             651             640          0.7503;
    23    0.204             748             758             725             714          0.7503;
    24    0.213             796             806             798             789          0.7503;
    25    0.221             848             858             872             860          0.7503;
    26    0.230             902             913             945             931          0.7503;
    27    0.239             960             973            1016            1003          0.7503;
    28    0.248            1024            1037            1086            1071          0.7503;
    29    0.257            1092            1106            1153            1142          0.7503;
    30    0.266            1164            1180            1219            1204          0.7503;
    31    0.274            1242            1258            1283            1269          0.7503;
    32    0.283            1324            1340            1347            1330          0.7503;
    33    0.292            1408            1426            1409            1394          0.7503;
    34    0.301            1497            1516            1471            1455          0.7503;
    35    0.310            1590            1610            1534            1518          0.7503;
    36    0.319            1687            1706            1598            1583          0.7503;
    37    0.328            1786            1806            1665            1649          0.7503;
    38    0.336            1887            1908            1734            1717          0.7503;
    39    0.345            1990            2011            1808            1791          0.7503;
    40    0.354            2095            2116            1886            1868          0.7503;
    41    0.363            2201            2222            1969            1954          0.7503;
    42    0.372            2307            2328            2059            2042          0.7503;
    43    0.381            2413            2434            2154            2134          0.7503;
    44    0.390            2518            2539            2257            2239          0.7503;
    45    0.398            2622            2643            2366            2351          0.7503;
    46    0.407            2725            2745            2481            2461          0.7503;
    47    0.416            2826            2846            2603            2584          0.7503;
    48    0.425            2926            2946            2730            2715          0.7503;
    49    0.434            3026            3046            2862            2840          0.7503;
    50    0.443            3125            3145            2999            2978          0.7503;
    51    0.452            3225            3245            3138            3122          0.7503;
    52    0.460            3325            3345            3279            3259          0.7503;
    53    0.469            3428            3449            3422            3401          0.7503;
    54    0.478            3534            3555            3564            3549          0.7503;
    55    0.487            3642            3664            3705            3686          0.7503;
    56    0.496            3754            3777            3844            3823          0.7503;
    57    0.505            3872            3896            3981            3967          0.7503;
    58    0.514            3994            4019            4115            4098          0.7503;
    59    0.522            4122            4148            4245            4221          0.7503;
    60    0.531            4256            4284            4373            4359          0.7503;
    61    0.540            4398            4427            4497            4479          0.7503;
    62    0.549            4546            4576            4619            4595          0.7503;
    63    0.558            4700            4732            4739            4727          0.7503;
    64    0.567            4861            4894            4858            4842          0.7503;
    65    0.576            5028            5062            4978            4952          0.7503;
    66    0.584            5199            5233            5099            5090          0.7503;
    67    0.593            5372            5406            5223            5206          0.7503;
    68    0.602            5545            5580            5350            5326          0.7503;
    69    0.611            5718            5752            5483            5476          0.7503;
    70    0.620            5888            5922            5623            5606          0.7503;
    71    0.629            6054            6088            5770            5748          0.7503;
    72    0.638            6218            6250            5924            5919          0.7503;
    73    0.646            6376            6407            6086            6067          0.7503;
    74    0.655            6531            6561            6256            6238          0.7503;
    75    0.664            6681            6711            6434            6429          0.7503;
    76    0.673            6830            6859            6618            6603          0.7503;
    77    0.682            6977            7006            6808            6795          0.7503;
    78    0.691            7124            7153            7002            6997          0.7503;
    79    0.699            7272            7303            7200            7191          0.7503;
    80    0.708            7425            7457            7400            7386          0.7503;
    81    0.717            7582            7615            7601            7602          0.7503;
    82    0.726            7745            7779            7802            7789          0.7503;
    83    0.735            7914            7949            8002            7995          0.7503;
    84    0.744            8090            8126            8201            8201          0.7503;
    85    0.753            8272            8309            8397            8393          0.7503;
    86    0.761            8460            8498            8591            8583          0.7503;
    87    0.770            8653            8693            8781            8787          0.7503;
    88    0.779            8852            8892            8970            8963          0.7503;
    89    0.788            9056            9096            9156            9155          0.7503;
    90    0.797            9263            9305            9341            9343          0.7503;
    91    0.806            9474            9517            9524            9521          0.7503;
    92    0.815            9690            9733            9707            9702          0.7503;
    93    0.823            9910            9954            9891            9897          0.7503;
    94    0.832           10134           10180           10076           10071          0.7503;
    95    0.841           10362           10407           10263           10260          0.7503;
    96    0.850           10591           10637           10454           10459          0.7503;
    97    0.859           10821           10867           10650           10645          0.7503;
    98    0.868           11051           11096           10850           10847          0.7503;
    99    0.877           11278           11323           11058           11060          0.7503;
   100    0.885           11503           11547           11271           11268          0.7503;
   101    0.894           11724           11768           11492           11488          0.7503;
   102    0.903           11942           11985           11719           11721          0.7503;
   103    0.912           12156           12199           11953           11954          0.7503;
   104    0.921           12368           12411           12192           12186          0.7503;
   105    0.930           12580           12623           12438           12443          0.7503;
   106    0.939           12794           12836           12687           12686          0.7503;
   107    0.947           13010           13053           12941           12936          0.7503;
   108    0.956           13229           13273           13197           13202          0.7503;
   109    0.965           13452           13497           13454           13450          0.7503;
   110    0.974           13677           13723           13711           13708          0.7503;
   111    0.983           13906           13953           13969           13973          0.7503;
   112    0.992           14139           14186           14225           14220          0.7503;
   113    1.001           14375           14422           14480           14478          0.7503;
   114    1.009           14614           14663           14733           14735          0.7503;
   115    1.018           14859           14909           14983           14977          0.7503;
   116    1.027           15109           15160           15230           15231          0.7503;
   117    1.036           15365           15417           15475           15475          0.7503;
   118    1.045           15628           15681           15718           15713          0.7503;
   119    1.054           15897           15952           15960           15961          0.7503;
   120    1.063           16172           16227           16201           16195          0.7503;
   121    1.071           16450           16506           16441           16435          0.7503;
   122    1.080           16730           16787           16682           16677          0.7503;
   123    1.089           17012           17067           16924           16918          0.7503;
   124    1.098           17291           17347           17170           17167          0.7503;
   125    1.107           17570           17626           17419           17406          0.7503;
   126    1.116           17848           17904           17673           17670          0.7503;
   127    1.124           18126           18182           17931           17928          0.7503;
   128    1.133           18404           18459           18195           18177          0.7503;
   129    1.142           18680           18735           18466           18468          0.7503;
   130    1.151           18955           19009           18742           18734          0.7503;
   131    1.160           19226           19280           19024           18995          0.7503;
   132    1.169           19495           19548           19311           19317          0.7503;
   133    1.178           19761           19813           19604           19598          0.7503;
   134    1.186           20024           20076           19901           19864          0.7503;
   135    1.195           20286           20338           20201           20202          0.7503;
   136    1.204           20548           20600           20505           20505          0.7503;
   137    1.213           20812           20865           20810           20777          0.7503;
   138    1.222           21081           21135           21114           21110          0.7503;
   139    1.231           21354           21409           21419           21415          0.7503;
   140    1.240           21632           21688           21723           21702          0.7503;
   141    1.248           21914           21971           22025           22026          0.7503;
   142    1.257           22200           22258           22326           22314          0.7503;
   143    1.266           22489           22548           22623           22599          0.7503;
   144    1.275           22783           22843           22919           22926          0.7503;
   145    1.284           23084           23144           23211           23207          0.7503;
   146    1.293           23388           23450           23502           23469          0.7503;
