 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               0               1               0          0.5000;
     2    0.018               0               7               0          0.5000;
     3    0.027               0              16               0          0.5000;
     4    0.035               0              29               1          0.5000;
     5    0.044               1              46               2          0.5000;
     6    0.053               3              65               5          0.5000;
     7    0.062               6              86               9          0.5000;
     8    0.071              10             109              15          0.5000;
     9    0.080              17             134              23          0.5000;
    10    0.089              28             160              34          0.5000;
    11    0.097              41             186              48          0.5000;
    12    0.106              58             212              65          0.5000;
    13    0.115              78             237              86          0.5000;
    14    0.124             102             261             111          0.5000;
    15    0.133             129             285             139          0.5000;
    16    0.142             160             307             171          0.5000;
    17    0.151             194             328             205          0.5000;
    18    0.159             231             349             243          0.5000;
    19    0.168             271             369             283          0.5000;
    20    0.177             313             389             324          0.5000;
    21    0.186             356             410             367          0.5000;
    22    0.195             399             431             410          0.5000;
    23    0.204             442             454             453          0.5000;
    24    0.213             484             478             496          0.5000;
    25    0.221             524             504             538          0.5000;
    26    0.230             563             533             578          0.5000;
    27    0.239             603             564             617          0.5000;
    28    0.248             639             598             653          0.5000;
    29    0.257             673             635             688          0.5000;
    30    0.266             707             675             720          0.5000;
    31    0.274             739             718             751          0.5000;
    32    0.283             768             763             780          0.5000;
    33    0.292             796             809             809          0.5000;
    34    0.301             824             855             836          0.5000;
    35    0.310             852             902             864          0.5000;
    36    0.319             879             948             892          0.5000;
    37    0.328             907             993             921          0.5000;
    38    0.336             938            1038             952          0.5000;
    39    0.345             969            1082             984          0.5000;
    40    0.354            1004            1123            1018          0.5000;
    41    0.363            1041            1163            1055          0.5000;
    42    0.372            1081            1201            1094          0.5000;
    43    0.381            1123            1238            1135          0.5000;
    44    0.390            1167            1273            1178          0.5000;
    45    0.398            1213            1307            1224          0.5000;
    46    0.407            1259            1339            1271          0.5000;
    47    0.416            1307            1369            1320          0.5000;
    48    0.425            1356            1401            1369          0.5000;
    49    0.434            1404            1433            1418          0.5000;
    50    0.443            1456            1468            1467          0.5000;
    51    0.452            1505            1505            1516          0.5000;
    52    0.460            1556            1546            1565          0.5000;
    53    0.469            1603            1589            1612          0.5000;
    54    0.478            1647            1635            1658          0.5000;
    55    0.487            1693            1684            1703          0.5000;
    56    0.496            1736            1736            1747          0.5000;
    57    0.505            1778            1791            1790          0.5000;
    58    0.514            1820            1850            1833          0.5000;
    59    0.522            1864            1912            1875          0.5000;
    60    0.531            1908            1978            1919          0.5000;
    61    0.540            1955            2046            1963          0.5000;
    62    0.549            2000            2116            2009          0.5000;
    63    0.558            2047            2188            2057          0.5000;
    64    0.567            2099            2259            2109          0.5000;
    65    0.576            2152            2332            2164          0.5000;
    66    0.584            2211            2404            2223          0.5000;
    67    0.593            2275            2476            2286          0.5000;
    68    0.602            2346            2547            2353          0.5000;
    69    0.611            2418            2617            2426          0.5000;
    70    0.620            2492            2685            2503          0.5000;
    71    0.629            2575            2751            2584          0.5000;
    72    0.638            2658            2815            2669          0.5000;
    73    0.646            2751            2879            2758          0.5000;
    74    0.655            2842            2943            2850          0.5000;
    75    0.664            2935            3006            2943          0.5000;
    76    0.673            3029            3070            3038          0.5000;
    77    0.682            3128            3135            3133          0.5000;
    78    0.691            3224            3200            3229          0.5000;
    79    0.699            3316            3268            3323          0.5000;
    80    0.708            3408            3338            3415          0.5000;
    81    0.717            3498            3411            3504          0.5000;
    82    0.726            3586            3487            3591          0.5000;
    83    0.735            3671            3567            3675          0.5000;
    84    0.744            3750            3648            3756          0.5000;
    85    0.753            3826            3733            3833          0.5000;
    86    0.761            3902            3821            3908          0.5000;
    87    0.770            3977            3912            3980          0.5000;
    88    0.779            4045            4006            4049          0.5000;
    89    0.788            4114            4101            4118          0.5000;
    90    0.797            4180            4199            4186          0.5000;
    91    0.806            4248            4298            4253          0.5000;
    92    0.815            4316            4399            4322          0.5000;
    93    0.823            4388            4501            4392          0.5000;
    94    0.832            4461            4603            4465          0.5000;
    95    0.841            4535            4706            4541          0.5000;
    96    0.850            4617            4809            4621          0.5000;
    97    0.859            4699            4911            4705          0.5000;
    98    0.868            4792            5012            4795          0.5000;
    99    0.877            4887            5112            4890          0.5000;
   100    0.885            4983            5210            4990          0.5000;
   101    0.894            5091            5307            5096          0.5000;
   102    0.903            5205            5400            5206          0.5000;
   103    0.912            5316            5492            5322          0.5000;
   104    0.921            5438            5583            5441          0.5000;
   105    0.930            5561            5673            5565          0.5000;
   106    0.939            5687            5762            5690          0.5000;
   107    0.947            5813            5851            5817          0.5000;
   108    0.956            5940            5941            5944          0.5000;
   109    0.965            6068            6032            6071          0.5000;
   110    0.974            6195            6126            6197          0.5000;
   111    0.983            6316            6223            6320          0.5000;
   112    0.992            6437            6322            6440          0.5000;
   113    1.001            6557            6426            6557          0.5000;
   114    1.009            6667            6533            6670          0.5000;
   115    1.018            6776            6645            6778          0.5000;
   116    1.027            6884            6762            6883          0.5000;
   117    1.036            6981            6884            6984          0.5000;
   118    1.045            7079            7010            7082          0.5000;
   119    1.054            7177            7141            7178          0.5000;
   120    1.063            7272            7276            7273          0.5000;
   121    1.071            7363            7415            7367          0.5000;
   122    1.080            7460            7556            7461          0.5000;
   123    1.089            7556            7700            7558          0.5000;
   124    1.098            7655            7844            7659          0.5000;
   125    1.107            7761            7987            7763          0.5000;
   126    1.116            7871            8127            7873          0.5000;
   127    1.124            7984            8263            7989          0.5000;
   128    1.133            8110            8395            8112          0.5000;
   129    1.142            8238            8521            8241          0.5000;
   130    1.151            8371            8641            8377          0.5000;
   131    1.160            8517            8757            8519          0.5000;
   132    1.169            8663            8867            8667          0.5000;
   133    1.178            8814            8973            8819          0.5000;
   134    1.186            8973            9076            8975          0.5000;
   135    1.195            9128            9178            9133          0.5000;
   136    1.204            9285            9279            9291          0.5000;
   137    1.213            9445            9382            9448          0.5000;
   138    1.222            9598            9488            9603          0.5000;
   139    1.231            9748            9599            9753          0.5000;
   140    1.240            9897            9716            9899          0.5000;
   141    1.248           10037            9840           10040          0.5000;
   142    1.257           10168            9973           10174          0.5000;
   143    1.266           10300           10114           10303          0.5000;
   144    1.275           10421           10264           10425          0.5000;
   145    1.284           10536           10421           10543          0.5000;
   146    1.293           10652           10585           10657          0.5000;
   147    1.302           10763           10753           10768          0.5000;
   148    1.310           10869           10925           10878          0.5000;
   149    1.319           10983           11097           10988          0.5000;
   150    1.328           11095           11268           11100          0.5000;
   151    1.337           11207           11435           11215          0.5000;
   152    1.346           11330           11599           11336          0.5000;
   153    1.355           11455           11757           11462          0.5000;
   154    1.364           11586           11909           11594          0.5000;
   155    1.372           11729           12055           11735          0.5000;
   156    1.381           11875           12195           11882          0.5000;
   157    1.390           12028           12330           12037          0.5000;
   158    1.399           12190           12461           12198          0.5000;
   159    1.408           12360           12591           12365          0.5000;
   160    1.417           12526           12719           12537          0.5000;
   161    1.426           12706           12848           12713          0.5000;
   162    1.434           12885           12977           12891          0.5000;
   163    1.443           13058           13109           13070          0.5000;
   164    1.452           13244           13243           13249          0.5000;
   165    1.461           13418           13381           13427          0.5000;
   166    1.470           13593           13523           13603          0.5000;
   167    1.479           13765           13669           13776          0.5000;
   168    1.488           13936           13819           13944          0.5000;
