 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               0               0          1.7576;
     1    0.009            1000               8               0          1.7576;
     2    0.018            1000              33               0          1.7576;
     3    0.027            1000              75               1          1.7570;
     4    0.035            1000             133               4          1.7509;
     5    0.044            1000             204              10          1.7393;
     6    0.053            1000             287              22          1.7192;
     7    0.062            1000             377              40          1.6880;
     8    0.071            1000             475              66          1.6410;
     9    0.080            1000             578             103          1.5763;
    10    0.089            1000             685             152          1.4908;
    11    0.097            1000             790             214          1.3816;
    12    0.106            1000             891             290          1.2473;
    13    0.115            1000             988             381          1.0873;
    14    0.124            1000            1079             487          0.9017;
    15    0.133            1000            1162             608          0.6899;
    16    0.142            1000            1234             742          0.4542;
    17    0.151            1000            1297             887          0.1984;
    18    0.159            1000            1351            1043         -0.0757;
    19    0.168            1000            1395            1206         -0.3626;
    20    0.177            1000            1431            1373         -0.6557;
    21    0.186            1000            1457            1540         -0.9499;
    22    0.195            1000            1474            1705         -1.2393;
    23    0.204            1000            1482            1862         -1.5165;
    24    0.213            1000            1480            2010         -1.7753;
    25    0.221            1000            1471            2143         -2.0104;
    26    0.230            1000            1455            2260         -2.2149;
    27    0.239            1000            1433            2355         -2.3828;
    28    0.248            1000            1404            2428         -2.5110;
    29    0.257            1000            1371            2475         -2.5940;
    30    0.266            1000            1334            2496         -2.6306;
    31    0.274            1000            1293            2489         -2.6178;
    32    0.283            1000            1250            2453         -2.5549;
    33    0.292            1000            1206            2389         -2.4420;
    34    0.301            1000            1163            2297         -2.2808;
    35    0.310            1000            1122            2179         -2.0726;
    36    0.319            1000            1083            2037         -1.8230;
    37    0.328            1000            1044            1873         -1.5354;
    38    0.336            1000            1005            1691         -1.2149;
    39    0.345            1000             964            1494         -0.8694;
    40    0.354            1000             922            1287         -0.5055;
    41    0.363            1000             879            1074         -0.1300;
    42    0.372            1000             836             858          0.2491;
    43    0.381            1000             791             644          0.6258;
    44    0.390            1000             745             436          0.9908;
    45    0.398            1000             697             238          1.3400;
    46    0.407            1000             649              53          1.6642;
    47    0.416            1000             602            -115          1.9609;
    48    0.425            1000             558            -265          2.2241;
    49    0.434            1000             519            -393          2.4487;
    50    0.443            1000             486            -498          2.6337;
    51    0.452            1000             461            -578          2.7747;
    52    0.460            1000             444            -633          2.8706;
    53    0.469            1000             436            -661          2.9206;
    54    0.478            1000             437            -663          2.9225;
    55    0.487            1000             446            -638          2.8791;
    56    0.496            1000             464            -586          2.7894;
    57    0.505            1000             490            -511          2.6557;
    58    0.514            1000             523            -411          2.4805;
    59    0.522            1000             563            -290          2.2674;
    60    0.531            1000             609            -149          2.0208;
    61    0.540            1000             658               9          1.7424;
    62    0.549            1000             710             181          1.4402;
    63    0.558            1000             763             364          1.1184;
    64    0.567            1000             817             555          0.7827;
    65    0.576            1000             871             750          0.4383;
    66    0.584            1000             926             947          0.0928;
    67    0.593            1000             982            1142         -0.2497;
    68    0.602            1000            1039            1330         -0.5806;
    69    0.611            1000            1095            1510         -0.8962;
    70    0.620            1000            1151            1677         -1.1911;
    71    0.629            1000            1207            1830         -1.4597;
    72    0.638            1000            1262            1966         -1.6996;
    73    0.646            1000            1314            2085         -1.9078;
    74    0.655            1000            1361            2183         -2.0806;
    75    0.664            1000            1403            2261         -2.2179;
    76    0.673            1000            1438            2317         -2.3162;
    77    0.682            1000            1465            2351         -2.3761;
    78    0.691            1000            1484            2363         -2.3974;
    79    0.699            1000            1494            2354         -2.3803;
    80    0.708            1000            1496            2322         -2.3254;
    81    0.717            1000            1489            2271         -2.2357;
    82    0.726            1000            1474            2201         -2.1123;
    83    0.735            1000            1451            2114         -1.9579;
    84    0.744            1000            1419            2010         -1.7759;
    85    0.753            1000            1381            1893         -1.5708;
    86    0.761            1000            1335            1764         -1.3437;
    87    0.770            1000            1283            1626         -1.1001;
    88    0.779            1000            1225            1480         -0.8443;
    89    0.788            1000            1163            1329         -0.5788;
    90    0.797            1000            1098            1175         -0.3077;
    91    0.806            1000            1030            1020         -0.0360;
    92    0.815            1000             960             867          0.2332;
    93    0.823            1000             887             718          0.4963;
    94    0.832            1000             812             574          0.7497;
