 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               0               2               0          0.5000;
     2    0.018               0               8               0          0.5000;
     3    0.027               0              18               1          0.5000;
     4    0.035               0              31               1          0.5000;
     5    0.044               1              48               3          0.5000;
     6    0.053               3              68               5          0.5000;
     7    0.062               6              90              10          0.5000;
     8    0.071              11             113              16          0.5000;
     9    0.080              19             136              24          0.5000;
    10    0.089              30             159              36          0.5000;
    11    0.097              45             182              50          0.5000;
    12    0.106              62             203              68          0.5000;
    13    0.115              83             223              89          0.5000;
    14    0.124             107             242             114          0.5000;
    15    0.133             134             260             141          0.5000;
    16    0.142             164             277             171          0.5000;
    17    0.151             197             294             204          0.5000;
    18    0.159             231             311             239          0.5000;
    19    0.168             267             329             276          0.5000;
    20    0.177             304             348             314          0.5000;
    21    0.186             342             368             352          0.5000;
    22    0.195             378             391             390          0.5000;
    23    0.204             417             415             428          0.5000;
    24    0.213             455             442             465          0.5000;
    25    0.221             491             471             501          0.5000;
    26    0.230             526             503             536          0.5000;
    27    0.239             560             537             570          0.5000;
    28    0.248             593             574             602          0.5000;
    29    0.257             625             612             634          0.5000;
    30    0.266             654             651             664          0.5000;
    31    0.274             683             692             694          0.5000;
    32    0.283             711             734             723          0.5000;
    33    0.292             739             778             752          0.5000;
    34    0.301             770             821             782          0.5000;
    35    0.310             800             865             812          0.5000;
    36    0.319             831             909             843          0.5000;
    37    0.328             864             953             875          0.5000;
    38    0.336             898             996             910          0.5000;
    39    0.345             934            1038             946          0.5000;
    40    0.354             972            1079             983          0.5000;
    41    0.363            1012            1119            1024          0.5000;
    42    0.372            1055            1158            1066          0.5000;
    43    0.381            1096            1197            1111          0.5000;
    44    0.390            1143            1237            1157          0.5000;
    45    0.398            1191            1277            1205          0.5000;
    46    0.407            1240            1318            1254          0.5000;
    47    0.416            1291            1361            1304          0.5000;
    48    0.425            1343            1404            1356          0.5000;
    49    0.434            1395            1449            1408          0.5000;
    50    0.443            1448            1496            1461          0.5000;
    51    0.452            1501            1545            1515          0.5000;
    52    0.460            1554            1597            1569          0.5000;
    53    0.469            1608            1652            1623          0.5000;
    54    0.478            1663            1710            1677          0.5000;
    55    0.487            1717            1771            1732          0.5000;
    56    0.496            1773            1837            1787          0.5000;
    57    0.505            1829            1905            1844          0.5000;
    58    0.514            1885            1975            1901          0.5000;
    59    0.522            1945            2047            1960          0.5000;
    60    0.531            2005            2122            2020          0.5000;
    61    0.540            2068            2198            2083          0.5000;
    62    0.549            2133            2275            2149          0.5000;
    63    0.558            2201            2354            2217          0.5000;
    64    0.567            2273            2432            2288          0.5000;
    65    0.576            2347            2511            2363          0.5000;
    66    0.584            2424            2588            2441          0.5000;
    67    0.593            2507            2666            2522          0.5000;
    68    0.602            2591            2743            2607          0.5000;
    69    0.611            2679            2819            2694          0.5000;
    70    0.620            2771            2894            2785          0.5000;
    71    0.629            2863            2967            2878          0.5000;
    72    0.638            2957            3041            2972          0.5000;
    73    0.646            3053            3115            3068          0.5000;
    74    0.655            3151            3190            3165          0.5000;
    75    0.664            3247            3266            3262          0.5000;
    76    0.673            3342            3343            3359          0.5000;
    77    0.682            3439            3421            3454          0.5000;
    78    0.691            3535            3502            3548          0.5000;
    79    0.699            3625            3585            3641          0.5000;
    80    0.708            3717            3671            3731          0.5000;
    81    0.717            3807            3759            3819          0.5000;
    82    0.726            3892            3851            3906          0.5000;
    83    0.735            3976            3947            3990          0.5000;
    84    0.744            4059            4046            4073          0.5000;
    85    0.753            4140            4149            4154          0.5000;
    86    0.761            4221            4255            4235          0.5000;
    87    0.770            4303            4364            4316          0.5000;
    88    0.779            4384            4477            4397          0.5000;
    89    0.788            4464            4592            4480          0.5000;
    90    0.797            4553            4709            4566          0.5000;
    91    0.806            4641            4826            4655          0.5000;
    92    0.815            4732            4942            4747          0.5000;
    93    0.823            4831            5058            4844          0.5000;
    94    0.832            4934            5172            4947          0.5000;
    95    0.841            5037            5283            5054          0.5000;
    96    0.850            5155            5391            5167          0.5000;
    97    0.859            5274            5496            5285          0.5000;
    98    0.868            5392            5597            5408          0.5000;
    99    0.877            5524            5695            5535          0.5000;
   100    0.885            5654            5790            5665          0.5000;
   101    0.894            5785            5884            5799          0.5000;
   102    0.903            5924            5977            5934          0.5000;
   103    0.912            6057            6069            6069          0.5000;
   104    0.921            6190            6162            6204          0.5000;
   105    0.930            6326            6257            6336          0.5000;
   106    0.939            6453            6355            6466          0.5000;
   107    0.947            6579            6457            6592          0.5000;
   108    0.956            6705            6563            6714          0.5000;
   109    0.965            6817            6676            6831          0.5000;
   110    0.974            6930            6795            6943          0.5000;
   111    0.983            7042            6920            7050          0.5000;
   112    0.992            7141            7052            7153          0.5000;
   113    1.001            7239            7190            7252          0.5000;
   114    1.009            7340            7334            7349          0.5000;
   115    1.018            7433            7482            7445          0.5000;
   116    1.027            7529            7633            7540          0.5000;
   117    1.036            7627            7786            7638          0.5000;
   118    1.045            7726            7938            7738          0.5000;
   119    1.054            7830            8087            7842          0.5000;
   120    1.063            7944            8233            7952          0.5000;
   121    1.071            8057            8374            8068          0.5000;
   122    1.080            8180            8509            8191          0.5000;
   123    1.089            8314            8638            8321          0.5000;
   124    1.098            8448            8760            8458          0.5000;
   125    1.107            8591            8876            8602          0.5000;
   126    1.116            8748            8987            8752          0.5000;
   127    1.124            8897            9094            8907          0.5000;
   128    1.133            9057            9199            9066          0.5000;
   129    1.142            9221            9303            9227          0.5000;
   130    1.151            9379            9409            9388          0.5000;
   131    1.160            9541            9517            9549          0.5000;
   132    1.169            9704            9631            9708          0.5000;
   133    1.178            9858            9751            9863          0.5000;
   134    1.186           10006            9879           10015          0.5000;
   135    1.195           10159           10014           10161          0.5000;
   136    1.204           10298           10158           10302          0.5000;
   137    1.213           10431           10309           10439          0.5000;
   138    1.222           10566           10468           10570          0.5000;
   139    1.231           10694           10631           10698          0.5000;
   140    1.240           10814           10799           10822          0.5000;
   141    1.248           10939           10970           10945          0.5000;
   142    1.257           11066           11140           11067          0.5000;
   143    1.266           11183           11311           11189          0.5000;
   144    1.275           11307           11479           11314          0.5000;
   145    1.284           11442           11644           11441          0.5000;
   146    1.293           11567           11806           11572          0.5000;
   147    1.302           11704           11963           11708          0.5000;
   148    1.310           11851           12117           11849          0.5000;
   149    1.319           11992           12267           11996          0.5000;
   150    1.328           12145           12415           12148          0.5000;
   151    1.337           12310           12560           12306          0.5000;
   152    1.346           12464           12704           12470          0.5000;
   153    1.355           12641           12847           12638          0.5000;
   154    1.364           12811           12990           12810          0.5000;
   155    1.372           12987           13132           12986          0.5000;
   156    1.381           13170           13273           13164          0.5000;
   157    1.390           13348           13415           13343          0.5000;
   158    1.399           13530           13559           13523          0.5000;
   159    1.408           13710           13702           13703          0.5000;
   160    1.417           13890           13848           13881          0.5000;
   161    1.426           14060           13997           14057          0.5000;
   162    1.434           14243           14149           14230          0.5000;
   163    1.443           14409           14304           14399          0.5000;
   164    1.452           14575           14464           14565          0.5000;
   165    1.461           14743           14628           14727          0.5000;
   166    1.470           14899           14798           14886          0.5000;
   167    1.479           15053           14974           15040          0.5000;
   168    1.488           15206           15155           15192          0.5000;
