 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0          0.0000;
     1    0.009               0               0          0.0000;
     2    0.018               0               0          0.0000;
     3    0.027               0               0          0.0000;
     4    0.035               0               0          0.0000;
     5    0.044               0               0          0.0000;
     6    0.053               0               0          0.0000;
     7    0.062               0               0          0.0000;
     8    0.071               0               0          0.0000;
     9    0.080               0               0          0.0000;
    10    0.089               0               0          0.0000;
    11    0.097               0               0          0.0000;
    12    0.106               0               0          0.0000;
    13    0.115               0               0          0.0000;
    14    0.124               0               0          0.0000;
    15    0.133               0               0          0.0000;
    16    0.142               0               0          0.0000;
    17    0.151               0               0          0.0000;
    18    0.159               0               0          0.0000;
    19    0.168               0               0          0.0000;
    20    0.177               0               0          0.0000;
    21    0.186               0               0          0.0000;
    22    0.195               0               0          0.0000;
    23    0.204               0               0          0.0000;
    24    0.213               0               0          0.0000;
    25    0.221               0               0          0.0000;
    26    0.230               0               0          0.0000;
    27    0.239               0               0          0.0000;
    28    0.248               0               0          0.0000;
    29    0.257               0               0          0.0000;
    30    0.266               0               0          0.0000;
    31    0.274               0               0          0.0000;
    32    0.283               0               0          0.0000;
    33    0.292               0               0          0.0000;
    34    0.301               0               0          0.0000;
    35    0.310               0               0          0.0000;
    36    0.319               0               0          0.0000;
    37    0.328               0               0          0.0000;
    38    0.336               0               0          0.0000;
    39    0.345               0               0          0.0000;
    40    0.354               0               0          0.0000;
    41    0.363               0               0          0.0000;
    42    0.372               0               0          0.0000;
    43    0.381               0               0          0.0000;
    44    0.390               0               0          0.0000;
    45    0.398               0               0          0.0000;
    46    0.407               0               0          0.0000;
    47    0.416               0               0          0.0000;
    48    0.425               0               0          0.0000;
    49    0.434               0               0          0.0000;
    50    0.443               0               0          0.0000;
    51    0.452               0               0          0.0000;
    52    0.460               0               0          0.0000;
    53    0.469               0               0          0.0000;
    54    0.478               0               0          0.0000;
    55    0.487               0               0          0.0000;
    56    0.496               0               0          0.0000;
    57    0.505               0               0          0.0000;
    58    0.514               0               0          0.0000;
    59    0.522               0               0          0.0000;
    60    0.531               0               0          0.0000;
    61    0.540               0               0          0.0000;
    62    0.549               0               0          0.0000;
    63    0.558               0               0          0.0000;
    64    0.567               0               0          0.0000;
    65    0.576               0               0          0.0006;
    66    0.584               0               0          0.0006;
    67    0.593               0               0          0.0006;
    68    0.602               0               0          0.0006;
    69    0.611               0               0          0.0006;
    70    0.620               0               0          0.0006;
    71    0.629               0               0          0.0006;
    72    0.638               0               0          0.0006;
    73    0.646               0               0          0.0006;
    74    0.655               0               0          0.0012;
    75    0.664               0               0          0.0012;
    76    0.673               0               0          0.0012;
    77    0.682               0               0          0.0012;
    78    0.691               0               0          0.0012;
    79    0.699               0               0          0.0018;
    80    0.708               0               0          0.0018;
    81    0.717               0               0          0.0018;
    82    0.726               0               0          0.0018;
    83    0.735               0               0          0.0024;
    84    0.744               0               0          0.0024;
    85    0.753               0               0          0.0024;
    86    0.761               0               0          0.0031;
    87    0.770               0               0          0.0031;
    88    0.779               0               0          0.0031;
    89    0.788               0               0          0.0037;
    90    0.797               0               0          0.0037;
    91    0.806               0               0          0.0037;
    92    0.815               0               0          0.0043;
    93    0.823               0               0          0.0043;
    94    0.832               0               0          0.0049;
    95    0.841               0               0          0.0049;
    96    0.850               0               0          0.0055;
    97    0.859               0               0          0.0061;
    98    0.868               0               0          0.0061;
    99    0.877               0               0          0.0067;
   100    0.885               0               0          0.0067;
   101    0.894               0               0          0.0073;
   102    0.903               0               0          0.0079;
   103    0.912               0               0          0.0085;
   104    0.921               0               0          0.0085;
   105    0.930               1               0          0.0092;
   106    0.939               1               0          0.0098;
   107    0.947               1               0          0.0104;
   108    0.956               1               0          0.0110;
   109    0.965               1               0          0.0116;
   110    0.974               1               0          0.0122;
   111    0.983               1               0          0.0128;
   112    0.992               1               1          0.0134;
   113    1.001               1               1          0.0147;
   114    1.009               1               1          0.0153;
   115    1.018               1               1          0.0159;
   116    1.027               1               1          0.0171;
   117    1.036               2               1          0.0177;
   118    1.045               2               1          0.0189;
   119    1.054               2               1          0.0195;
   120    1.063               2               1          0.0208;
   121    1.071               2               1          0.0214;
   122    1.080               2               1          0.0226;
   123    1.089               2               1          0.0238;
   124    1.098               2               1          0.0250;
   125    1.107               2               1          0.0263;
   126    1.116               2               1          0.0275;
   127    1.124               3               1          0.0287;
   128    1.133               3               1          0.0299;
   129    1.142               3               1          0.0311;
   130    1.151               3               2          0.0330;
   131    1.160               3               2          0.0342;
   132    1.169               3               2          0.0360;
   133    1.178               4               2          0.0379;
   134    1.186               4               2          0.0391;
   135    1.195               4               2          0.0409;
   136    1.204               4               3          0.0427;
   137    1.213               5               3          0.0446;
   138    1.222               5               3          0.0464;
   139    1.231               6               3          0.0488;
   140    1.240               6               3          0.0507;
   141    1.248               6               4          0.0531;
   142    1.257               6               4          0.0549;
   143    1.266               7               4          0.0574;
   144    1.275               7               5          0.0598;
   145    1.284               8               5          0.0623;
   146    1.293               8               5          0.0647;
   147    1.302               9               5          0.0678;
   148    1.310              10               6          0.0702;
   149    1.319              10               6          0.0733;
   150    1.328              11               7          0.0757;
   151    1.337              12               7          0.0788;
   152    1.346              12               8          0.0824;
   153    1.355              14               8          0.0855;
   154    1.364              15               9          0.0885;
   155    1.372              16               9          0.0922;
   156    1.381              17              10          0.0958;
   157    1.390              19              11          0.0995;
   158    1.399              20              12          0.1032;
   159    1.408              22              13          0.1068;
   160    1.417              24              14          0.1111;
   161    1.426              26              16          0.1148;
   162    1.434              28              17          0.1190;
   163    1.443              31              19          0.1233;
   164    1.452              34              21          0.1282;
   165    1.461              37              23          0.1325;
   166    1.470              40              25          0.1374;
   167    1.479              43              28          0.1422;
   168    1.488              46              31          0.1477;
   169    1.496              49              34          0.1526;
   170    1.505              52              37          0.1581;
   171    1.514              56              41          0.1636;
   172    1.523              59              45          0.1691;
   173    1.532              62              49          0.1752;
   174    1.541              66              53          0.1813;
   175    1.549              69              58          0.1874;
   176    1.558              73              62          0.1935;
   177    1.567              77              67          0.2002;
   178    1.576              81              72          0.2063;
   179    1.585              85              77          0.2131;
   180    1.594              90              82          0.2198;
   181    1.603              94              87          0.2271;
   182    1.611              99              92          0.2338;
   183    1.620             104              97          0.2411;
   184    1.629             110             103          0.2479;
   185    1.638             116             108          0.2552;
   186    1.647             122             113          0.2625;
   187    1.656             128             119          0.2698;
   188    1.665             135             125          0.2778;
   189    1.673             142             130          0.2851;
   190    1.682             148             136          0.2924;
   191    1.691             155             142          0.3004;
   192    1.700             163             149          0.3077;
   193    1.709             170             155          0.3156;
   194    1.718             179             162          0.3230;
   195    1.727             188             169          0.3309;
   196    1.735             198             176          0.3382;
   197    1.744             209             184          0.3462;
   198    1.753             220             192          0.3535;
   199    1.762             232             201          0.3608;
   200    1.771             245             210          0.3687;
   201    1.780             259             220          0.3761;
   202    1.789             274             231          0.3834;
   203    1.797             289             243          0.3901;
   204    1.806             305             256          0.3974;
   205    1.815             321             269          0.4048;
   206    1.824             338             284          0.4115;
   207    1.833             354             300          0.4182;
   208    1.842             371             318          0.4249;
   209    1.851             388             336          0.4310;
   210    1.859             404             355          0.4377;
   211    1.868             422             376          0.4432;
   212    1.877             439             397          0.4493;
   213    1.886             456             419          0.4548;
   214    1.895             474             442          0.4603;
   215    1.904             493             465          0.4652;
   216    1.913             513             489          0.4701;
   217    1.921             534             513          0.4750;
   218    1.930             556             538          0.4786;
   219    1.939             578             562          0.4829;
   220    1.948             601             587          0.4866;
   221    1.957             625             612          0.4896;
   222    1.966             650             637          0.4921;
   223    1.974             676             661          0.4945;
   224    1.983             702             686          0.4963;
   225    1.992             729             711          0.4982;
   226    2.001             756             737          0.4994;
   227    2.010             785             762          0.5000;
   228    2.019             814             787          0.5000;
   229    2.028             844             813          0.4994;
   230    2.036             875             840          0.4982;
