 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               0               2               0          0.5000;
     2    0.018               0               9               0          0.5000;
     3    0.027               1              20               0          0.5000;
     4    0.035               1              35               1          0.5000;
     5    0.044               2              53               2          0.5000;
     6    0.053               4              73               5          0.5000;
     7    0.062               7              96              10          0.5000;
     8    0.071              13             120              17          0.5000;
     9    0.080              22             144              26          0.5000;
    10    0.089              34             167              38          0.5000;
    11    0.097              49             190              54          0.5000;
    12    0.106              66             213              73          0.5000;
    13    0.115              87             235              95          0.5000;
    14    0.124             113             257             120          0.5000;
    15    0.133             140             278             149          0.5000;
    16    0.142             171             300             181          0.5000;
    17    0.151             205             321             215          0.5000;
    18    0.159             242             342             252          0.5000;
    19    0.168             281             364             291          0.5000;
    20    0.177             322             387             332          0.5000;
    21    0.186             364             410             373          0.5000;
    22    0.195             405             435             415          0.5000;
    23    0.204             447             461             457          0.5000;
    24    0.213             489             489             499          0.5000;
    25    0.221             528             518             540          0.5000;
    26    0.230             567             550             580          0.5000;
    27    0.239             606             583             619          0.5000;
    28    0.248             643             619             656          0.5000;
    29    0.257             678             656             692          0.5000;
    30    0.266             714             695             726          0.5000;
    31    0.274             747             736             760          0.5000;
    32    0.283             778             778             791          0.5000;
    33    0.292             810             822             822          0.5000;
    34    0.301             840             867             853          0.5000;
    35    0.310             870             912             883          0.5000;
    36    0.319             900             957             913          0.5000;
    37    0.328             931            1001             945          0.5000;
    38    0.336             964            1043             977          0.5000;
    39    0.345             995            1084            1010          0.5000;
    40    0.354            1031            1123            1045          0.5000;
    41    0.363            1066            1161            1081          0.5000;
    42    0.372            1105            1198            1119          0.5000;
    43    0.381            1146            1232            1158          0.5000;
    44    0.390            1186            1265            1199          0.5000;
    45    0.398            1229            1297            1241          0.5000;
    46    0.407            1271            1328            1284          0.5000;
    47    0.416            1313            1359            1327          0.5000;
    48    0.425            1356            1390            1371          0.5000;
    49    0.434            1400            1420            1414          0.5000;
    50    0.443            1443            1451            1457          0.5000;
    51    0.452            1486            1483            1500          0.5000;
    52    0.460            1530            1515            1541          0.5000;
    53    0.469            1570            1549            1581          0.5000;
    54    0.478            1609            1586            1620          0.5000;
    55    0.487            1647            1626            1658          0.5000;
    56    0.496            1681            1669            1694          0.5000;
    57    0.505            1716            1714            1729          0.5000;
    58    0.514            1750            1762            1763          0.5000;
    59    0.522            1782            1812            1796          0.5000;
    60    0.531            1815            1864            1829          0.5000;
    61    0.540            1849            1917            1863          0.5000;
    62    0.549            1883            1972            1898          0.5000;
    63    0.558            1920            2028            1934          0.5000;
    64    0.567            1960            2085            1972          0.5000;
    65    0.576            2000            2143            2012          0.5000;
    66    0.584            2043            2201            2056          0.5000;
    67    0.593            2089            2260            2102          0.5000;
    68    0.602            2139            2318            2153          0.5000;
    69    0.611            2191            2375            2207          0.5000;
    70    0.620            2250            2432            2265          0.5000;
    71    0.629            2314            2489            2327          0.5000;
    72    0.638            2381            2545            2392          0.5000;
    73    0.646            2450            2602            2461          0.5000;
    74    0.655            2521            2658            2534          0.5000;
    75    0.664            2597            2715            2609          0.5000;
    76    0.673            2672            2773            2687          0.5000;
    77    0.682            2757            2831            2766          0.5000;
    78    0.691            2837            2889            2846          0.5000;
    79    0.699            2917            2949            2928          0.5000;
    80    0.708            2997            3011            3009          0.5000;
    81    0.717            3079            3075            3089          0.5000;
    82    0.726            3162            3142            3169          0.5000;
    83    0.735            3239            3211            3248          0.5000;
    84    0.744            3318            3282            3325          0.5000;
    85    0.753            3391            3355            3401          0.5000;
    86    0.761            3466            3430            3476          0.5000;
    87    0.770            3542            3508            3548          0.5000;
    88    0.779            3613            3588            3620          0.5000;
    89    0.788            3682            3669            3690          0.5000;
    90    0.797            3751            3752            3759          0.5000;
    91    0.806            3819            3835            3828          0.5000;
    92    0.815            3888            3919            3896          0.5000;
    93    0.823            3959            4002            3965          0.5000;
    94    0.832            4029            4086            4034          0.5000;
    95    0.841            4098            4170            4105          0.5000;
    96    0.850            4171            4254            4177          0.5000;
    97    0.859            4246            4338            4251          0.5000;
    98    0.868            4317            4422            4326          0.5000;
    99    0.877            4404            4507            4404          0.5000;
   100    0.885            4480            4592            4485          0.5000;
   101    0.894            4561            4677            4568          0.5000;
   102    0.903            4648            4764            4653          0.5000;
   103    0.912            4736            4853            4741          0.5000;
   104    0.921            4828            4943            4832          0.5000;
   105    0.930            4923            5035            4925          0.5000;
   106    0.939            5016            5127            5022          0.5000;
   107    0.947            5115            5221            5120          0.5000;
   108    0.956            5223            5317            5221          0.5000;
   109    0.965            5321            5413            5325          0.5000;
   110    0.974            5426            5511            5430          0.5000;
   111    0.983            5537            5609            5538          0.5000;
   112    0.992            5646            5708            5648          0.5000;
   113    1.001            5757            5808            5758          0.5000;
   114    1.009            5869            5909            5870          0.5000;
   115    1.018            5986            6009            5983          0.5000;
   116    1.027            6097            6109            6097          0.5000;
   117    1.036            6209            6211            6210          0.5000;
   118    1.045            6324            6312            6323          0.5000;
   119    1.054            6437            6415            6436          0.5000;
   120    1.063            6550            6517            6549          0.5000;
   121    1.071            6660            6621            6660          0.5000;
   122    1.080            6772            6726            6770          0.5000;
   123    1.089            6882            6833            6879          0.5000;
   124    1.098            6989            6942            6987          0.5000;
   125    1.107            7093            7054            7093          0.5000;
   126    1.116            7202            7168            7199          0.5000;
   127    1.124            7307            7286            7303          0.5000;
   128    1.133            7407            7407            7407          0.5000;
   129    1.142            7513            7532            7511          0.5000;
   130    1.151            7618            7659            7615          0.5000;
   131    1.160            7721            7789            7720          0.5000;
   132    1.169            7828            7921            7827          0.5000;
   133    1.178            7938            8054            7935          0.5000;
   134    1.186            8051            8187            8047          0.5000;
   135    1.195            8165            8319            8163          0.5000;
   136    1.204            8283            8450            8282          0.5000;
   137    1.213            8410            8578            8406          0.5000;
   138    1.222            8538            8703            8535          0.5000;
   139    1.231            8667            8825            8667          0.5000;
   140    1.240            8807            8945            8803          0.5000;
   141    1.248            8947            9062            8943          0.5000;
   142    1.257            9087            9177            9086          0.5000;
   143    1.266            9236            9291            9232          0.5000;
   144    1.275            9382            9404            9378          0.5000;
   145    1.284            9527            9517            9525          0.5000;
   146    1.293            9677            9632            9671          0.5000;
   147    1.302            9820            9750            9816          0.5000;
   148    1.310            9962            9872            9959          0.5000;
   149    1.319           10103            9999           10100          0.5000;
   150    1.328           10241           10131           10237          0.5000;
   151    1.337           10377           10271           10372          0.5000;
   152    1.346           10508           10416           10504          0.5000;
   153    1.355           10636           10567           10633          0.5000;
   154    1.364           10765           10723           10761          0.5000;
   155    1.372           10890           10883           10887          0.5000;
   156    1.381           11013           11045           11012          0.5000;
   157    1.390           11141           11208           11138          0.5000;
   158    1.399           11268           11369           11265          0.5000;
   159    1.408           11395           11528           11394          0.5000;
   160    1.417           11531           11685           11527          0.5000;
   161    1.426           11666           11837           11664          0.5000;
   162    1.434           11805           11986           11804          0.5000;
   163    1.443           11953           12131           11949          0.5000;
   164    1.452           12099           12272           12098          0.5000;
   165    1.461           12251           12411           12252          0.5000;
   166    1.470           12413           12548           12409          0.5000;
   167    1.479           12570           12684           12569          0.5000;
   168    1.488           12731           12820           12731          0.5000;
