 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000               0               0               0               0          0.0000;
     1    0.009               0               0               0               0          0.0000;
     2    0.018               0               0               0               0          0.0000;
     3    0.027               0               0               0               0          0.0000;
     4    0.035               0               0               0               0          0.0000;
     5    0.044               0               0               0               0          0.0000;
     6    0.053               0               0               0               0          0.0000;
     7    0.062               0               0               0               0          0.0000;
     8    0.071               0               0               0               0          0.0000;
     9    0.080               0               0               0               0          0.0000;
    10    0.089               0               0               0               0          0.0000;
    11    0.097               0               0               0               0          0.0000;
    12    0.106               0               0               0               0          0.0000;
    13    0.115               0               0               0               0          0.0000;
    14    0.124               0               0               0               0          0.0000;
    15    0.133               0               0               0               0          0.0000;
    16    0.142               0               0               0               0          0.0000;
    17    0.151               0               0               0               0          0.0000;
    18    0.159               0               0               0               0          0.0000;
    19    0.168               0               0               0               0          0.0000;
    20    0.177               0               0               0               0          0.0000;
    21    0.186               0               0               0               0          0.0000;
    22    0.195               0               0               0               0          0.0000;
    23    0.204               0               0               0               0          0.0000;
    24    0.213               0               0               0               0          0.0000;
    25    0.221               0               0               0               0          0.0000;
    26    0.230               0               0               0               0          0.0000;
    27    0.239               0               0               0               0          0.0000;
    28    0.248               0               0               0               0          0.0000;
    29    0.257               0               0               0               0          0.0000;
    30    0.266               0               0               0               0          0.0000;
    31    0.274               0               0               0               0          0.0000;
    32    0.283               0               0               0               0          0.0000;
    33    0.292               0               0               0               0          0.0000;
    34    0.301               0               0               0               0          0.0000;
    35    0.310               0               0               0               0          0.0000;
    36    0.319               0               0               0               0          0.0000;
    37    0.328               0               0               0               0          0.0000;
    38    0.336               0               0               0               0          0.0000;
    39    0.345               0               0               0               0          0.0000;
    40    0.354               0               0               0               0          0.0000;
    41    0.363               0               0               0               0          0.0000;
    42    0.372               0               0               0               0          0.0000;
    43    0.381               0               0               0               0          0.0000;
    44    0.390               0               0               0               0          0.0006;
    45    0.398               0               0               0               0          0.0006;
    46    0.407               0               0               0               0          0.0006;
    47    0.416               0               0               0               0          0.0006;
    48    0.425               0               0               0               0          0.0006;
    49    0.434               0               0               0               0          0.0006;
    50    0.443               0               0               0               0          0.0012;
    51    0.452               0               0               0               0          0.0012;
    52    0.460               0               0               0               0          0.0012;
    53    0.469               0               0               0               0          0.0018;
    54    0.478               0               0               0               0          0.0018;
    55    0.487               0               0               0               0          0.0018;
    56    0.496               0               0               0               0          0.0024;
    57    0.505               0               0               0               0          0.0024;
    58    0.514               0               0               0               0          0.0031;
    59    0.522               0               0               0               0          0.0031;
    60    0.531               0               0               0               0          0.0037;
    61    0.540               0               0               0               0          0.0043;
    62    0.549               0               0               0               0          0.0043;
    63    0.558               1               0               0               0          0.0049;
    64    0.567               1               0               0               0          0.0055;
    65    0.576               1               0               0               0          0.0061;
    66    0.584               1               0               0               0          0.0067;
    67    0.593               1               0               0               0          0.0073;
    68    0.602               1               0               0               0          0.0079;
    69    0.611               1               0               0               0          0.0085;
    70    0.620               1               1               0               0          0.0092;
    71    0.629               1               1               0               0          0.0098;
    72    0.638               1               1               0               0          0.0110;
    73    0.646               1               1               0               0          0.0116;
    74    0.655               1               1               0               0          0.0128;
    75    0.664               1               1               0               0          0.0140;
    76    0.673               2               1               1               0          0.0153;
    77    0.682               2               1               1               0          0.0165;
    78    0.691               2               2               1               0          0.0177;
    79    0.699               2               2               1               0          0.0189;
    80    0.708               2               2               1               0          0.0201;
    81    0.717               2               2               1               0          0.0220;
    82    0.726               2               2               1               0          0.0238;
    83    0.735               3               2               1               0          0.0256;
    84    0.744               3               3               1               1          0.0275;
    85    0.753               3               3               1               1          0.0293;
    86    0.761               3               3               1               1          0.0311;
    87    0.770               3               3               1               1          0.0336;
    88    0.779               4               4               2               1          0.0360;
    89    0.788               4               4               2               1          0.0385;
    90    0.797               4               4               2               1          0.0409;
    91    0.806               5               4               2               1          0.0440;
    92    0.815               5               5               2               1          0.0464;
    93    0.823               5               5               3               2          0.0495;
    94    0.832               5               6               3               2          0.0531;
    95    0.841               6               6               3               2          0.0562;
    96    0.850               6               7               4               2          0.0598;
    97    0.859               7               7               4               3          0.0635;
    98    0.868               7               8               4               3          0.0678;
    99    0.877               7               8               5               3          0.0720;
   100    0.885               8               9               5               4          0.0763;
   101    0.894               8              10               5               4          0.0812;
   102    0.903               9              10               6               4          0.0861;
   103    0.912               9              11               6               4          0.0910;
   104    0.921              10              12               7               5          0.0965;
   105    0.930              11              13               8               5          0.1020;
   106    0.939              11              14               8               6          0.1074;
   107    0.947              12              15               9               7          0.1136;
   108    0.956              12              16              10               7          0.1203;
   109    0.965              13              18              10               8          0.1270;
   110    0.974              14              19              11               8          0.1337;
   111    0.983              15              20              12               9          0.1410;
   112    0.992              15              22              13              10          0.1490;
   113    1.001              16              23              14              11          0.1569;
   114    1.009              17              25              16              12          0.1654;
   115    1.018              18              27              17              13          0.1740;
   116    1.027              19              30              18              15          0.1832;
   117    1.036              20              33              20              16          0.1929;
   118    1.045              21              37              22              18          0.2027;
   119    1.054              22              41              24              20          0.2131;
   120    1.063              23              46              26              22          0.2241;
   121    1.071              24              51              29              25          0.2350;
   122    1.080              25              57              32              28          0.2466;
   123    1.089              27              63              36              31          0.2589;
   124    1.098              28              69              40              35          0.2717;
   125    1.107              29              76              44              40          0.2845;
   126    1.116              31              83              49              45          0.2979;
   127    1.124              32              91              55              50          0.3120;
   128    1.133              34              99              62              57          0.3260;
   129    1.142              35             108              69              64          0.3407;
   130    1.151              37             117              78              72          0.3553;
   131    1.160              38             127              87              81          0.3706;
   132    1.169              40             139              97              90          0.3858;
   133    1.178              41             151             107             101          0.4017;
   134    1.186              43             164             119             112          0.4176;
   135    1.195              45             179             131             124          0.4335;
   136    1.204              46             194             145             137          0.4493;
   137    1.213              48             211             159             152          0.4658;
   138    1.222              50             228             175             167          0.4817;
   139    1.231              51             246             191             182          0.4982;
   140    1.240              53             264             209             199          0.5140;
   141    1.248              54             284             228             217          0.5305;
   142    1.257              56             306             247             237          0.5464;
   143    1.266              58             328             269             258          0.5623;
   144    1.275              59             352             291             280          0.5775;
   145    1.284              61             378             314             304          0.5928;
   146    1.293              62             406             339             331          0.6074;
   147    1.302              64             436             365             357          0.6221;
   148    1.310              65             468             392             384          0.6361;
   149    1.319              67             503             422             414          0.6496;
   150    1.328              68             539             453             444          0.6630;
   151    1.337              69             578             485             476          0.6752;
   152    1.346              70             618             521             511          0.6868;
   153    1.355              72             659             557             547          0.6978;
   154    1.364              73             702             597             585          0.7082;
   155    1.372              74             745             638             628          0.7173;
   156    1.381              74             789             682             671          0.7253;
   157    1.390              75             835             729             720          0.7326;
   158    1.399              76             883             777             769          0.7387;
   159    1.408              76             932             828             821          0.7436;
   160    1.417              77             983             882             874          0.7473;
   161    1.426              77            1036             937             929          0.7491;
   162    1.434              77            1091             995             986          0.7503;
   163    1.443              77            1148            1055            1047          0.7491;
   164    1.452              76            1205            1117            1111          0.7466;
   165    1.461              76            1265            1181            1175          0.7424;
   166    1.470              75            1329            1247            1240          0.7363;
   167    1.479              75            1396            1314            1308          0.7283;
   168    1.488              73            1466            1383            1376          0.7186;
